id,backpack_doodad_id
1,3054
2,3056
3,3057
4,3058
5,2431
6,5040
7,4390
8,4390
9,3659
10,3463
11,3383
12,3322
13,3321
14,3320
15,3319
16,3318
17,3304
18,3302
19,2431
20,3182
21,3054
22,3059
23,4189
24,4190
25,4192
26,4193
27,4195
28,4197
29,4198
30,4199
31,4200
32,4201
33,4202
34,4203
35,4204
36,4205
37,4206
38,4207
39,4208
40,4209
41,4210
42,4211
43,4212
44,4213
45,4214
46,4215
47,5200
48,5201
49,5202
50,5203
51,5204
52,5205
53,5206
54,5207
55,5208
56,5209
57,5210
58,5211
59,5212
60,5213
61,5214
62,5215
63,5216
64,5217
65,5218
66,5219
67,5220
68,5221
69,5222
70,5223
71,5224
72,5225
73,5226
74,5227
75,5228
76,5229
77,5230
78,5231
79,5232
80,5233
81,5234
82,5235
83,5236
84,5237
85,5238
86,5239
87,5240
88,5241
89,5242
90,5243
91,5913
92,5914
93,6052
94,6053
95,6054
96,6055
97,6056
98,6057
99,6058
100,6059
101,6060
102,6061
103,6062
104,6063
105,6064
106,6065
107,6066
108,6067
109,6068
110,6069
111,6070
112,6071
113,6072
114,6073
115,6074
116,6131
118,6133
124,6148
125,6149
126,6150
127,6155
128,6271
130,6409
131,6415
132,6477
133,6478
134,6479
135,6480
136,6481
137,6482
138,6545
139,6546
140,6547
141,6548
142,6549
143,6550
144,6551
145,6552
146,6553
147,6554
148,6555
149,6556
150,6557
151,6558
152,6559
154,5287
155,6825
156,6828
157,6825
158,7001
159,7002
160,7000
161,7006
162,7007
163,7008
164,7009
165,7036
166,7158
167,7198
168,7197
169,7196
170,7195
171,7199
172,7219
173,7220
174,7226
175,7225
176,7237
177,7238
178,7239
