id,item_category_id
1,39
6,39
12,39
18,39
19,38
21,45
22,97
29,46
30,46
31,46
32,46
33,46
34,46
35,46
36,59
37,46
38,46
39,53
40,53
41,53
42,53
43,53
44,55
45,45
46,45
47,45
48,42
49,45
50,45
51,42
52,45
53,45
54,45
55,45
56,42
57,45
58,42
59,45
60,45
61,39
62,39
63,39
65,39
66,39
67,39
68,39
69,39
70,39
71,39
72,39
73,39
74,39
75,39
76,39
77,39
78,39
79,39
80,39
81,39
82,39
83,39
84,39
85,39
86,39
87,39
88,39
89,39
90,39
91,39
92,39
93,39
94,39
95,39
96,39
97,39
98,39
99,39
100,39
101,39
102,39
103,39
104,39
105,39
106,49
107,39
108,49
109,39
110,49
111,39
112,49
113,39
114,49
115,39
116,49
117,39
118,49
119,39
120,53
121,39
122,49
123,39
124,49
125,39
126,49
127,39
128,49
129,39
130,49
131,39
132,49
133,39
134,49
135,39
136,49
137,39
138,49
139,39
140,52
141,39
142,49
143,49
144,48
145,48
146,48
147,48
148,48
149,48
150,48
151,48
152,48
153,48
154,48
155,48
156,49
157,49
158,48
159,48
160,48
161,48
162,55
164,55
165,55
166,55
167,55
168,55
169,55
170,55
171,55
172,55
173,55
174,42
175,42
176,55
177,55
178,55
179,55
180,55
181,55
182,47
183,47
184,47
185,47
186,47
187,47
188,47
189,47
190,47
191,47
192,47
193,47
194,47
195,47
196,47
197,47
198,47
199,47
200,46
201,46
203,52
204,52
205,52
206,52
207,52
208,52
209,52
210,52
211,52
212,52
213,52
214,52
215,52
216,52
217,52
218,52
219,52
220,52
221,52
222,52
223,53
224,53
225,53
226,53
227,53
228,53
229,46
230,46
231,46
232,46
233,46
234,46
235,59
236,46
238,39
239,39
240,49
241,49
244,112
246,112
247,112
248,112
249,112
250,95
251,95
252,95
253,95
254,124
255,124
256,124
257,124
258,139
259,139
260,139
261,139
262,95
263,95
264,95
265,95
266,95
267,95
268,95
269,95
270,124
271,124
272,124
273,124
274,124
275,124
276,124
277,124
278,139
279,139
280,139
281,139
282,139
283,139
284,139
285,139
286,137
287,137
288,137
289,137
290,137
291,137
292,137
293,137
294,137
295,137
296,137
297,137
298,92
299,92
300,92
301,92
302,92
303,92
304,92
305,92
306,92
307,92
308,92
309,92
310,92
311,92
312,92
313,92
314,55
316,92
317,92
318,92
319,92
320,92
321,92
322,92
323,92
324,92
325,92
326,92
327,92
328,92
329,92
330,92
331,92
332,137
333,137
334,137
335,137
337,137
338,137
339,47
340,47
341,45
342,42
343,39
344,39
345,39
346,39
347,39
348,39
349,48
350,48
351,48
352,48
353,48
354,48
355,48
356,48
357,47
358,47
359,47
360,47
361,47
362,47
363,47
364,47
365,47
366,47
367,47
368,47
369,55
370,55
371,55
372,55
373,55
374,55
375,55
376,55
377,55
378,55
379,55
380,55
381,55
382,55
383,52
384,52
385,52
386,52
387,52
388,52
389,52
390,53
391,53
392,53
