id,name
1,disenchant.weapon.uncommon.20-29.reagent
2,disenchant.weapon.uncommon.30-39.reagent
3,disenchant.weapon.uncommon.40-49.reagent
4,disenchant.weapon.uncommon.50-50.reagent
5,disenchant.weapon.rare.20-29.reagent
6,disenchant.weapon.rare.30-39.reagent
7,disenchant.weapon.rare.40-49.reagent
8,disenchant.weapon.rare.50-50.reagent
9,disenchant.weapon.ancient.20-29.reagent
10,disenchant.weapon.ancient.30-39.reagent
11,disenchant.weapon.ancient.40-49.reagent
12,disenchant.weapon.ancient.50-50.reagent
13,disenchant.weapon.heroic.20-29.reagent
14,disenchant.weapon.heroic.30-39.reagent
15,disenchant.weapon.heroic.40-49.reagent
16,disenchant.weapon.heroic.50-50.reagent
17,disenchant.weapon.unique.20-29.reagent
18,disenchant.weapon.unique.30-39.reagent
19,disenchant.weapon.unique.40-49.reagent
20,disenchant.weapon.unique.50-50.reagent
21,disenchant.armor.uncommon.20-29.reagent
22,disenchant.armor.uncommon.30-39.reagent
23,disenchant.armor.uncommon.40-49.reagent
24,disenchant.armor.uncommon.50-50.reagent
25,disenchant.armor.rare.20-29.reagent
26,disenchant.armor.rare.30-39.reagent
27,disenchant.armor.rare.40-49.reagent
28,disenchant.armor.rare.50-50.reagent
29,disenchant.armor.ancient.20-29.reagent
30,disenchant.armor.ancient.30-39.reagent
31,disenchant.armor.ancient.40-49.reagent
32,disenchant.armor.ancient.50-50.reagent
33,disenchant.armor.heroic.20-29.reagent
34,disenchant.armor.heroic.30-39.reagent
35,disenchant.armor.heroic.40-49.reagent
36,disenchant.armor.heroic.50-50.reagent
37,disenchant.armor.unique.20-29.reagent
38,disenchant.armor.unique.30-39.reagent
39,disenchant.armor.unique.40-49.reagent
40,disenchant.armor.unique.50-50.reagent
41,disenchant.accessory.uncommon.20-29.reagent
42,disenchant.accessory.uncommon.30-39.reagent
43,disenchant.accessory.uncommon.40-49.reagent
44,disenchant.accessory.uncommon.50-50.reagent
45,disenchant.accessory.rare.20-29.reagent
46,disenchant.accessory.rare.30-39.reagent
47,disenchant.accessory.rare.40-49.reagent
48,disenchant.accessory.rare.50-50.reagent
49,disenchant.accessory.ancient.20-29.reagent
50,disenchant.accessory.ancient.30-39.reagent
51,disenchant.accessory.ancient.40-49.reagent
52,disenchant.accessory.ancient.50-50.reagent
53,disenchant.accessory.heroic.20-29.reagent
54,disenchant.accessory.heroic.30-39.reagent
55,disenchant.accessory.heroic.40-49.reagent
56,disenchant.accessory.heroic.50-50.reagent
57,disenchant.accessory.unique.20-29.reagent
58,disenchant.accessory.unique.30-39.reagent
59,disenchant.accessory.unique.40-49.reagent
60,disenchant.accessory.unique.50-50.reagent
61,disenchant.enchanting_gem.common.10-14.reagent
62,disenchant.enchanting_gem.common.15-19.reagent
63,disenchant.enchanting_gem.uncommon.20-24.reagent
64,disenchant.enchanting_gem.uncommon.25-29.reagent
65,disenchant.enchanting_gem.rare.30-34.reagent
66,disenchant.enchanting_gem.rare.35-39.reagent
67,disenchant.enchanting_gem.ancient.40-44.reagent
68,disenchant.enchanting_gem.ancient.45-49.reagent
69,disenchant.enchanting_gem.heroic.50-50.reagent
70,disenchant.weapon.uncommon.01-19.reagent
71,disenchant.weapon.rare.01-19.reagent
72,disenchant.weapon.ancient.01-19.reagent
73,disenchant.weapon.heroic.01-19.reagent
74,disenchant.weapon.unique.01-19.reagent
75,disenchant.armor.uncommon.01-19.reagent
76,disenchant.armor.rare.01-19.reagent
77,disenchant.armor.ancient.01-19.reagent
78,disenchant.armor.heroic.01-19.reagent
79,disenchant.armor.unique.01-19.reagent
80,disenchant.accessory.uncommon.01-19.reagent
81,disenchant.accessory.rare.01-19.reagent
82,disenchant.accessory.ancient.01-19.reagent
83,disenchant.accessory.heroic.01-19.reagent
84,disenchant.accessory.unique.01-19.reagent
86,disenchant.1handed_weapon.illustrious.reagent
87,disenchant.1handed_weapon.magnificent.reagent
88,disenchant.1handed_weapon.epherium.reagent
89,disenchant.1handed_weapon.delphinad.reagent
90,disenchant.armor.illustrious.reagent
91,disenchant.armor.magnificent.reagent
92,disenchant.armor.epherium.reagent
93,disenchant.armor.delphinad.reagent
94,disenchant.2handed_weapon.illustrious.reagent
95,disenchant.2handed_weapon.epherium.reagent
96,disenchant.2handed_weapon.delphinad.reagent
