id,craft_id
3,6
5,3
6,4
7,8
8,9
9,10
10,11
11,13
12,12
13,14
14,15
32,31
168,169
170,170
185,180
187,181
188,182
189,183
190,184
191,185
192,186
193,187
194,188
195,189
196,190
197,191
198,192
199,193
200,194
201,195
202,196
203,197
204,198
205,199
206,200
207,201
208,202
209,203
210,204
211,205
212,206
213,207
214,208
215,209
216,210
217,211
218,212
219,213
220,214
221,215
222,216
223,217
224,218
225,219
226,220
227,221
228,222
229,223
230,224
231,225
232,226
233,227
234,228
235,229
236,230
237,231
238,232
239,233
240,234
241,235
242,236
243,237
244,238
245,239
246,240
247,241
248,242
249,243
250,244
251,245
252,246
253,247
254,248
255,249
256,250
257,251
258,252
259,253
260,254
261,255
262,256
263,257
264,258
265,259
266,260
267,261
268,262
269,263
270,264
271,265
272,266
273,267
274,268
275,269
276,270
277,271
278,272
279,273
280,274
281,275
282,276
283,277
284,278
285,279
286,280
287,281
288,282
289,283
290,284
291,285
292,286
293,287
294,288
295,289
296,290
297,291
298,292
299,293
300,294
301,295
305,169
