id,item_id,count
21,15701,1
22,16214,1
23,15694,1
24,3557,1
25,7992,1
26,7994,1
27,7998,1
28,8001,1
29,8010,1
30,8012,1
31,8016,1
32,8018,1
33,16232,1
34,7763,1
35,8006,1
36,15694,1
37,3557,1
38,7992,1
39,7994,1
40,7998,1
41,8001,1
42,8010,1
43,8012,1
44,8016,1
45,8018,1
46,16232,1
47,7763,1
48,8006,1
49,16186,1
50,16187,1
51,16188,1
52,16189,1
53,16190,1
54,16191,1
55,16192,1
56,16193,1
57,16194,1
58,16223,1
59,16224,1
60,16243,1
61,8017,1
62,15589,1
63,15589,1
64,15701,1
65,16238,1
66,8017,1
67,8337,1
68,16240,1
69,16234,10
70,8256,1
71,8337,1
72,15589,1
73,16234,1
77,19554,1
78,19880,1
80,8013,100
81,8006,100
83,8005,100
84,8016,50
85,3711,100
86,3627,100
87,8005,100
88,8016,50
89,3711,100
90,3627,100
92,26088,101
97,28204,1
100,25920,1
101,25922,1
102,25923,1
103,28197,1
104,26874,1
110,28619,1
111,28543,1
112,28544,1
113,28545,1
114,28546,1
