id,owner_id,owner_type,attach_point_id,doodad_id,persist,scale
1,21,Slave,19,1130,f,1.0
2,21,Slave,20,1131,f,1.0
3,21,Slave,21,1135,f,1.0
4,21,Slave,22,1136,f,1.0
5,21,Slave,24,1187,f,1.0
6,21,Slave,25,1187,f,1.0
7,21,Slave,28,1188,f,1.0
8,21,Slave,29,1188,f,1.0
9,21,Slave,26,1191,f,1.0
10,21,Slave,27,1191,f,1.0
11,21,Slave,23,1195,f,1.0
12,22,Slave,19,1130,f,1.0
13,22,Slave,20,1131,f,1.0
14,22,Slave,21,1316,f,1.0
15,22,Slave,22,1319,f,1.0
16,22,Slave,24,1187,f,1.0
17,22,Slave,25,1187,f,1.0
18,22,Slave,28,1188,f,1.0
19,22,Slave,29,1188,f,1.0
20,22,Slave,26,1191,f,1.0
21,22,Slave,27,1191,f,1.0
22,22,Slave,23,1195,f,1.0
23,23,Slave,19,1130,f,1.0
24,23,Slave,20,1131,f,1.0
25,23,Slave,21,1315,f,1.0
26,23,Slave,22,1318,f,1.0
27,23,Slave,24,1187,f,1.0
28,23,Slave,25,1187,f,1.0
29,23,Slave,28,1188,f,1.0
30,23,Slave,29,1188,f,1.0
31,23,Slave,26,1191,f,1.0
32,23,Slave,27,1191,f,1.0
33,23,Slave,23,1195,f,1.0
34,24,Slave,19,1130,f,1.0
35,24,Slave,20,1131,f,1.0
36,24,Slave,21,1317,f,1.0
37,24,Slave,22,1320,f,1.0
38,24,Slave,24,1187,f,1.0
39,24,Slave,25,1187,f,1.0
40,24,Slave,28,1188,f,1.0
41,24,Slave,29,1188,f,1.0
42,24,Slave,26,1191,f,1.0
43,24,Slave,27,1191,f,1.0
44,24,Slave,23,1195,f,1.0
46,22,Slave,35,2374,f,1.0
47,23,Slave,35,2374,f,1.0
48,24,Slave,35,2374,f,1.0
49,14,Slave,35,2374,f,1.0
51,15,Slave,2,2387,f,1.0
54,11,Slave,35,2374,f,1.0
55,36,Slave,2,2518,f,1.0
56,14,Slave,21,2521,f,1.0
57,44,Slave,35,2545,f,1.0
58,45,Slave,35,2374,f,1.0
62,21,Slave,81,2611,f,1.0
64,22,Slave,81,2611,f,1.0
65,23,Slave,2,2354,f,1.0
66,23,Slave,3,2611,f,1.0
67,15,Slave,29,2612,f,1.0
68,14,Slave,29,2612,f,1.0
69,14,Slave,28,2612,f,1.0
71,15,Slave,35,2384,f,1.0
77,52,Slave,35,2374,f,1.0
78,52,Slave,21,2521,f,1.0
79,52,Slave,29,2612,f,1.0
80,52,Slave,28,2612,f,1.0
82,24,Slave,81,2611,f,1.0
83,55,Slave,2,2387,f,1.0
84,55,Slave,29,2612,f,1.0
85,55,Slave,9,2418,f,1.0
87,55,Slave,10,2391,f,1.0
88,55,Slave,35,2384,f,1.0
95,21,Slave,35,2374,f,1.0
100,14,Slave,58,3305,f,1.0
101,14,Slave,59,3306,f,1.0
102,21,Slave,58,3299,f,1.0
103,21,Slave,59,3300,f,1.0
105,61,Slave,19,1130,f,1.0
106,61,Slave,20,1131,f,1.0
107,61,Slave,21,1135,f,1.0
108,61,Slave,22,1136,f,1.0
109,61,Slave,24,3446,f,1.0
110,61,Slave,25,3446,f,1.0
111,61,Slave,29,3461,f,1.0
112,61,Slave,26,5890,f,1.0
113,61,Slave,27,5890,f,1.0
114,61,Slave,23,1195,f,1.0
115,61,Slave,46,2611,f,1.0
116,61,Slave,35,2374,f,1.0
117,61,Slave,58,3299,f,1.0
118,61,Slave,59,3300,f,1.0
119,61,Slave,28,3446,f,1.0
122,21,Slave,48,3445,f,1.0
123,21,Slave,49,3445,f,1.0
124,21,Slave,50,3445,f,1.0
125,21,Slave,51,3445,f,1.0
126,21,Slave,52,3445,f,1.0
128,22,Slave,48,3445,f,1.0
129,22,Slave,49,3445,f,1.0
130,22,Slave,50,3445,f,1.0
131,22,Slave,51,3445,f,1.0
132,22,Slave,52,3445,f,1.0
134,24,Slave,48,3445,f,1.0
135,24,Slave,49,3445,f,1.0
136,24,Slave,50,3445,f,1.0
137,24,Slave,51,3445,f,1.0
138,24,Slave,52,3445,f,1.0
139,21,Slave,53,3445,f,1.0
140,22,Slave,53,3445,f,1.0
141,24,Slave,53,3445,f,1.0
146,24,Slave,58,3299,f,1.0
147,24,Slave,59,3300,f,1.0
148,22,Slave,58,3299,f,1.0
149,22,Slave,59,3300,f,1.0
150,52,Slave,58,3305,f,1.0
151,52,Slave,59,3306,f,1.0
152,14,Slave,48,3445,f,1.0
153,14,Slave,49,3445,f,1.0
154,52,Slave,48,3445,f,1.0
155,52,Slave,49,3445,f,1.0
157,60,Slave,9,3446,t,1.0
158,60,Slave,10,3446,t,1.0
159,60,Slave,11,3446,t,1.0
160,60,Slave,12,3446,t,1.0
161,63,Slave,35,2374,f,1.0
162,63,Slave,17,3445,f,1.0
163,63,Slave,46,3445,f,1.0
164,63,Slave,47,3445,f,1.0
165,63,Slave,48,3445,f,1.0
166,63,Slave,49,3445,f,1.0
167,63,Slave,50,3445,f,1.0
168,63,Slave,51,3445,f,1.0
169,63,Slave,52,3445,f,1.0
170,63,Slave,53,3445,f,1.0
171,63,Slave,54,3445,f,1.0
172,63,Slave,55,3445,f,1.0
173,63,Slave,56,3445,f,1.0
174,63,Slave,18,3691,f,1.0
175,63,Slave,19,3740,f,1.0
176,63,Slave,20,3741,f,1.0
177,63,Slave,21,3742,f,1.0
180,75,Slave,21,5780,f,1.0
181,75,Slave,22,5781,f,1.0
182,75,Slave,24,5808,f,1.0
183,75,Slave,25,5808,f,1.0
184,75,Slave,28,2612,f,1.0
185,75,Slave,29,2612,f,1.0
189,75,Slave,35,2374,f,1.0
190,75,Slave,58,5856,f,1.0
191,75,Slave,59,5857,f,1.0
192,75,Slave,60,3446,t,1.0
193,75,Slave,61,3446,t,1.0
194,75,Slave,62,3446,t,1.0
195,75,Slave,63,3446,t,1.0
196,75,Slave,64,3446,t,1.0
197,75,Slave,65,3446,t,1.0
198,75,Slave,66,3446,t,1.0
199,75,Slave,67,3446,t,1.0
200,75,Slave,68,3446,t,1.0
201,75,Slave,69,3446,t,1.0
202,75,Slave,70,3446,t,1.0
203,75,Slave,71,3446,t,1.0
204,75,Slave,72,3446,t,1.0
205,75,Slave,73,3446,t,1.0
206,75,Slave,74,3446,t,1.0
207,75,Slave,75,3446,t,1.0
208,75,Slave,76,3446,t,1.0
209,75,Slave,77,3446,t,1.0
210,75,Slave,78,3446,t,1.0
