id,family_id
3,10002
4,10002
5,10001
20,10002
21,10002
30,10005
31,10005
32,10006
33,10006
34,10006
35,10006
36,10006
37,10006
40,1034
41,1034
42,1034
43,1034
47,1036
49,10006
50,10006
51,30000
52,30000
57,1036
58,1036
59,10007
60,10007
61,10008
62,10008
63,10012
65,10011
73,10017
74,10018
75,10019
76,10020
77,10014
78,10016
79,10011
80,10014
81,10016
82,10015
83,10016
84,10012
85,10015
86,10016
87,10013
88,10015
89,10013
90,10014
91,10028
92,10026
93,10026
102,10028
103,10029
123,15807
124,15807
125,15807
126,15807
127,15808
128,15808
129,15806
130,15806
131,15808
132,15808
133,15806
142,15805
143,15805
144,10030
145,10031
146,10032
147,10033
148,1036
150,30001
151,30001
152,2475
153,2475
154,10040
155,10040
156,10040
157,10040
158,10041
159,10041
160,10041
161,10041
162,10043
163,10043
164,10042
165,10042
166,10043
167,10044
168,10035
169,10036
170,10037
171,10038
172,10039
173,40001
174,40001
175,10044
176,10044
177,10040
178,10040
179,10045
180,30005
181,30005
185,30002
186,30003
187,30004
188,30005
189,30005
190,30005
191,30005
192,40002
193,40002
199,40003
200,40003
201,40004
202,40004
203,40004
205,1111
208,1111
211,100000
212,100000
217,40007
229,40006
241,40006
245,40006
246,40005
247,40005
248,40005
249,40005
250,40005
251,40005
252,100001
254,100001
271,100001
275,100001
277,100001
278,100002
280,100002
281,100001
282,200001
283,200002
284,200001
285,200002
286,100002
287,200000
288,200002
289,100002
290,200000
291,200002
292,100002
293,200000
294,200001
295,100002
296,200000
297,200001
298,300001
299,300001
300,300001
301,300002
302,300002
303,300002
304,300002
305,300002
306,300002
307,300001
308,300001
309,300001
310,400001
312,400001
314,400001
318,400001
319,300002
320,300002
321,300002
322,400001
323,400001
325,400001
326,400001
327,400001
328,500001
329,500001
330,500001
331,400002
332,400001
333,400001
334,400001
335,400001
336,400001
337,400001
338,400001
339,400001
340,400001
341,400001
342,400001
343,400002
344,400002
345,400002
346,90002
347,90002
348,90003
349,90003
350,90004
351,90012
354,90013
356,90014
359,90015
360,400011
362,90013
363,90012
367,30015
370,90002
371,90002
372,90002
373,90002
374,90002
375,90002
376,90002
377,30017
378,30017
379,30017
380,30017
381,400100
382,400100
383,400100
384,400101
385,400101
386,400101
387,400102
388,400102
389,400102
390,400103
391,400110
392,400110
393,400111
394,400110
395,400110
396,400110
397,400110
398,400110
399,400110
400,400110
401,400110
402,400110
403,400110
404,30008
406,30008
407,30010
408,30010
409,20000
412,30012
413,30012
414,30013
415,30014
417,30012
418,30012
419,30014
420,30014
421,40005
422,40005
425,1035
426,1035
427,30022
428,30023
429,30024
433,30021
437,30022
438,30023
439,30024
440,30022
441,30023
442,30024
444,50005
445,50005
446,50005
447,50005
448,50006
449,50006
450,50006
451,50007
452,50001
453,50008
455,30019
456,30019
457,30019
458,30019
459,30033
460,30033
461,30034
462,30034
463,30034
464,80010
465,80013
468,80010
470,50009
471,50009
472,50009
473,50009
474,50009
475,50009
476,80022
477,80022
478,80022
479,80023
480,80023
481,30039
482,30039
483,30039
484,30039
485,30040
487,30042
488,30042
489,30044
490,30044
491,30048
492,30048
493,30048
494,30048
495,30048
496,30048
497,30045
498,30045
499,30050
500,30050
501,30017
502,30017
503,50009
508,30052
518,80013
519,80013
522,80012
523,80012
524,40006
525,40006
526,40006
527,40006
528,40006
529,40006
530,40006
531,40006
532,40006
533,40008
534,40008
535,40008
536,40008
537,40008
538,40008
539,40008
540,40006
541,30101
542,30101
543,30101
544,30101
545,30101
546,30101
547,30200
548,30200
549,30106
550,30106
551,30107
552,30107
553,30110
554,30110
557,30112
558,30112
559,30115
560,30116
561,30116
562,30116
563,30116
564,30119
565,30119
566,30119
567,30119
568,30103
570,30301
571,30303
572,30303
573,90002
574,90002
575,90002
576,90002
577,90002
578,90003
579,90003
580,90003
581,90003
582,90003
583,50100
584,50100
585,50101
587,50101
588,50102
589,50102
590,50103
591,50103
592,50104
593,50104
594,50105
595,50105
596,50101
597,50101
598,50101
599,50101
600,50101
601,50101
602,50101
603,50103
604,50103
605,50103
606,50103
607,50103
608,50103
609,50103
610,50103
611,50101
612,50102
613,50102
614,50102
615,50102
616,50102
617,50102
618,50102
619,50102
620,50104
621,50104
622,50104
623,50104
624,50104
625,50104
626,50104
627,50104
628,50105
629,50105
630,50105
631,50105
632,50105
633,50105
634,50105
635,50105
636,90002
637,90002
638,90003
639,90003
640,50108
641,50108
642,50109
643,50109
644,50109
645,50109
646,50109
647,50109
648,50109
649,50109
650,50109
651,50109
652,50110
653,50110
654,50110
655,50110
656,50110
657,50110
658,50110
659,50110
660,50110
661,50110
662,50111
663,50111
664,50111
665,50111
666,50111
667,50111
668,50111
669,50111
670,50111
671,50111
672,50112
673,50112
674,50112
675,50112
676,50112
677,50112
678,50112
679,50112
680,50112
681,50112
682,50113
683,50113
684,50113
685,50113
686,50113
687,50113
688,50113
689,50113
690,50113
691,50113
692,50115
693,50115
695,50116
696,50116
697,50116
698,50116
699,50116
700,50116
701,50116
702,50116
703,50116
704,50116
705,50116
706,50116
707,50116
708,50116
709,50116
710,50116
711,50116
712,50116
713,50116
714,50118
715,50118
716,50118
717,50118
718,50118
719,50118
720,50118
721,50118
722,50118
723,50118
724,50118
725,50118
726,50118
727,50118
728,50118
729,50118
730,50118
731,50118
732,50118
733,50118
735,30302
736,30307
737,30307
738,30308
739,30309
746,30310
747,30303
748,30304
749,30305
750,30309
751,30307
752,30308
754,30300
755,30300
756,30301
757,30302
761,30306
762,30307
763,30308
770,30306
771,30307
772,30308
776,30313
777,30314
778,30313
779,30314
787,30303
788,30304
789,30305
790,30309
791,30310
792,30308
793,30320
794,30320
795,30332
796,30332
797,30333
798,30333
799,30334
800,30334
801,30335
802,30335
803,30336
804,30336
805,30337
806,30337
807,30338
808,30338
809,30339
810,30339
811,30340
812,30340
813,30303
814,30303
815,30309
816,30309
817,30310
818,30310
819,30304
820,30304
821,30308
822,30308
823,30305
824,30305
825,60001
826,60001
828,60003
830,60002
831,60002
832,60003
833,60001
834,60002
838,49000
839,49000
840,60005
841,60005
842,60005
844,49000
845,49003
846,49003
849,49004
851,49004
852,49004
853,49005
854,49006
855,49007
856,49005
857,49005
858,49006
859,49007
860,49008
861,49008
862,49009
863,49009
864,49010
865,49010
866,49011
867,49011
877,30401
878,30401
