id,district_id
1,0
3,15
4,0
5,17
6,16
7,12
8,13
9,23
10,25
11,26
12,1
13,3
14,4
15,2
16,21
17,22
18,0
19,0
20,0
21,117
22,150
23,33
24,32
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,204
33,205
34,206
36,10
37,11
38,19
39,0
40,0
41,14
42,20
43,1
44,151
45,163
46,164
47,165
48,166
49,18
50,198
51,152
52,153
53,154
54,161
55,200
56,31
57,201
58,1
59,5
60,6
61,9
62,8
63,7
64,28
65,27
66,134
67,203
68,29
69,29
70,162
71,208
72,210
73,63
74,224
75,124
76,125
77,235
78,126
79,127
80,250
81,252
82,251
83,253
84,255
85,254
86,272
87,273
88,274
89,275
90,279
91,277
92,282
93,283
94,295
95,296
96,297
97,298
98,299
99,300
100,301
101,302
102,318
103,319
104,298
105,333
106,334
107,335
108,336
109,337
110,338
111,339
112,340
113,341
114,348
115,349
116,346
117,347
118,352
119,354
120,355
121,356
122,357
123,358
124,359
125,360
126,361
127,362
128,363
129,364
130,365
