id,item_id,count,grade_id
1,10,1,0
64,4135,1,0
65,4137,1,0
66,4139,1,0
67,4141,1,0
94,3969,1,0
95,3970,1,0
100,3979,1,0
101,3980,1,0
104,3985,1,0
105,3986,1,0
109,3983,1,0
110,3984,1,0
116,3975,1,0
117,3976,1,0
118,3987,1,0
119,3988,1,0
120,3981,1,0
121,3982,1,0
122,3977,1,0
123,3978,1,0
124,3971,1,0
125,3972,1,0
130,3969,1,0
131,3970,1,0
132,3977,1,0
133,3978,1,0
221,8416,1,0
222,8447,1,0
225,8448,1,0
226,8469,1,2
227,8449,1,0
228,8419,1,2
229,8463,1,2
230,8470,1,2
231,8435,1,2
232,8464,1,2
233,8417,1,0
234,8418,1,0
235,8420,1,2
236,8421,1,2
237,8436,1,2
238,8465,1,2
239,8422,1,2
242,8437,1,2
243,8438,1,2
245,8425,1,2
246,8450,1,2
247,8451,1,2
248,8452,1,2
251,8427,1,2
252,8428,1,2
253,8429,1,2
255,8431,1,2
256,8432,1,2
257,8466,1,0
258,8467,1,0
259,8468,1,0
269,8456,1,2
270,8457,1,2
271,8458,1,2
272,8471,1,0
273,8472,1,0
282,8453,1,2
283,8454,1,2
284,8455,1,2
288,3,1,0
289,382,1,0
290,14646,1,2
291,14647,1,2
292,14648,1,2
295,14652,1,3
296,14653,1,3
297,14654,1,3
298,14649,1,2
299,14650,1,2
300,14651,1,2
302,14657,1,3
303,14658,1,3
304,14659,1,3
306,14661,1,3
308,14663,1,3
376,15165,1,0
377,15168,1,0
378,15171,1,0
527,8159,1,0
528,8160,1,0
529,8161,1,0
533,15896,1,0
534,15895,1,0
535,15894,1,0
544,35,1,0
545,30,1,0
554,17095,1,2
555,17096,1,2
556,17097,1,2
560,17068,1,2
561,17069,1,2
562,17070,1,2
758,17202,1,3
759,17232,1,3
760,17226,1,3
787,17196,1,2
791,17208,1,2
792,17236,1,2
793,17218,1,2
797,17112,1,3
798,17113,1,3
799,17114,1,3
800,17118,1,2
801,17119,1,2
802,17120,1,2
803,17121,1,2
806,17157,1,3
807,17158,1,3
808,17159,1,3
809,17127,1,2
810,17128,1,2
811,17129,1,0
815,17137,1,2
816,17138,1,2
817,17139,1,2
818,17140,1,2
819,17141,1,2
820,17142,1,2
823,17167,1,2
825,17175,1,2
826,17183,1,2
827,17204,1,2
828,17230,1,2
829,17228,1,2
841,17198,1,2
842,17189,1,2
843,17193,1,2
847,17210,1,2
848,17238,1,2
849,17220,1,2
877,17165,1,2
878,17169,1,2
879,17173,1,2
909,17181,1,2
988,17187,1,2
989,17191,1,2
1003,17288,1,0
1004,17292,1,0
1005,17296,1,0
1006,17300,1,0
1007,17304,1,0
1008,17308,1,0
1009,17403,1,0
1010,17407,1,0
1011,17460,1,0
