id,item_id,midi
1,6177,24
2,20480,24
3,20481,24
4,20482,24
5,20483,24
6,20484,24
7,20485,24
8,20486,24
9,20487,26
10,20488,29
11,20489,30
12,20490,26
13,20491,29
14,20492,30
15,21408,24
16,21409,24
17,21410,24
18,21411,24
19,21666,24
20,21667,24
21,21668,24
22,21669,24
23,21800,24
24,21801,24
25,22159,24
26,22160,24
27,22161,24
28,22162,24
29,22163,24
30,22164,24
31,22165,24
32,22166,24
33,22167,24
34,22168,24
35,22169,24
36,22170,24
37,22171,24
38,22172,24
39,22853,24
40,22854,24
41,22897,24
42,22898,24
43,22981,24
44,22982,24
45,23158,24
46,23159,24
47,23213,24
48,23269,24
49,23299,24
50,26065,24
51,26133,24
52,26861,24
53,27339,24
54,27345,24
55,6202,73
56,20493,73
57,20494,73
58,20495,73
59,20496,73
60,20497,73
61,20498,73
62,20499,73
63,20500,71
64,20501,70
65,20502,68
66,20503,71
67,20504,70
68,20505,68
69,21412,73
70,21413,73
71,21414,73
72,21415,73
73,21670,73
74,21671,73
75,21672,73
76,21673,73
77,21802,73
78,21803,73
79,22173,73
80,22174,73
81,22175,73
82,22176,73
83,22177,73
84,22178,73
85,22179,73
86,22180,73
87,22181,73
88,22182,73
89,22183,73
90,22184,73
91,22185,73
92,22186,73
93,22855,73
94,22856,73
95,22899,73
96,22900,73
97,22983,73
98,22984,73
99,23160,73
100,23161,73
101,23214,73
102,23270,73
103,23300,73
104,23768,73
105,23801,73
106,26134,73
107,26863,73
108,27187,73
109,27330,73
110,27331,73
111,28370,105
112,28371,106
113,28372,25
114,28373,32
115,28374,66
116,28375,72
117,28376,74
118,28377,69
