id,unit_formula_id,variable_kind_id,key,value
1,1,1,0,0.0
2,1,1,1,0.0
3,1,1,2,0.0
4,1,1,3,0.0
5,1,1,4,0.0
6,1,1,5,0.0
7,1,1,6,0.0
8,1,1,7,0.0
9,1,1,8,0.0
10,2,1,0,0.0
11,2,1,1,0.0
12,2,1,2,0.0
13,2,1,3,0.0
14,2,1,4,0.0
15,2,1,5,0.0
16,2,1,6,0.0
17,2,1,7,0.0
18,2,1,8,0.0
19,3,1,0,0.0
20,3,1,1,0.0
21,3,1,2,0.0
22,3,1,3,0.0
23,3,1,4,0.0
24,3,1,5,0.0
25,3,1,6,0.0
26,3,1,7,0.0
27,3,1,8,0.0
28,4,1,0,0.0
29,4,1,1,0.0
30,4,1,2,0.0
31,4,1,3,0.0
32,4,1,4,0.0
33,4,1,5,0.0
34,4,1,6,0.0
35,4,1,7,0.0
36,4,1,8,0.0
37,5,1,0,0.0
38,5,1,1,0.0
39,5,1,2,0.0
40,5,1,3,0.0
41,5,1,4,0.0
42,5,1,5,0.0
43,5,1,6,0.0
44,5,1,7,0.0
45,5,1,8,0.0
46,6,1,0,0.0
47,6,1,1,0.0
48,6,1,2,0.0
49,6,1,3,0.0
50,6,1,4,0.0
51,6,1,5,0.0
52,6,1,6,0.0
53,6,1,7,0.0
54,6,1,8,0.0
55,7,1,0,0.0
56,7,1,1,0.0
57,7,1,2,0.0
58,7,1,3,0.0
59,7,1,4,0.0
60,7,1,5,0.0
61,7,1,6,0.0
62,7,1,7,0.0
63,7,1,8,0.0
64,8,1,0,0.0
65,8,1,1,0.0
66,8,1,2,0.0
67,8,1,3,0.0
68,8,1,4,0.0
69,8,1,5,0.0
70,8,1,6,0.0
71,8,1,7,0.0
72,8,1,8,0.0
73,9,1,0,0.0
74,9,1,1,0.0
75,9,1,2,0.0
76,9,1,3,0.0
77,9,1,4,0.0
78,9,1,5,0.0
79,9,1,6,0.0
80,9,1,7,0.0
81,9,1,8,0.0
82,10,1,0,0.0
83,10,1,1,0.0
84,10,1,2,0.0
85,10,1,3,0.0
86,10,1,4,0.0
87,10,1,5,0.0
88,10,1,6,0.0
89,10,1,7,0.0
90,10,1,8,0.0
91,11,1,0,0.0
92,11,1,1,0.0
93,11,1,2,0.0
94,11,1,3,0.0
95,11,1,4,0.0
96,11,1,5,0.0
97,11,1,6,0.0
98,11,1,7,0.0
99,11,1,8,0.0
100,12,1,0,0.0
101,12,1,1,0.0
102,12,1,2,0.0
103,12,1,3,0.0
104,12,1,4,0.0
105,12,1,5,0.0
106,12,1,6,0.0
107,12,1,7,0.0
108,12,1,8,0.0
109,13,1,0,0.0
110,13,1,1,0.0
111,13,1,2,0.0
112,13,1,3,0.0
113,13,1,4,0.0
114,13,1,5,0.0
115,13,1,6,0.0
116,13,1,7,0.0
117,13,1,8,0.0
118,14,1,0,0.0
119,14,1,1,0.0
120,14,1,2,0.0
121,14,1,3,0.0
122,14,1,4,0.0
123,14,1,5,0.0
124,14,1,6,0.0
125,14,1,7,0.0
126,14,1,8,0.0
127,15,1,0,0.0
128,15,1,1,0.0
129,15,1,2,0.0
130,15,1,3,0.0
131,15,1,4,0.0
132,15,1,5,0.0
133,15,1,6,0.0
134,15,1,7,0.0
135,15,1,8,0.0
136,16,1,0,0.0
137,16,1,1,0.0
138,16,1,2,0.0
139,16,1,3,0.0
140,16,1,4,0.0
141,16,1,5,0.0
142,16,1,6,0.0
143,16,1,7,0.0
144,16,1,8,0.0
145,17,1,0,0.0
146,17,1,1,0.0
147,17,1,2,0.0
148,17,1,3,0.0
149,17,1,4,0.0
