id,name,item_conv_set_id
1,disenchant.weapon.uncommon.20-29,3
2,disenchant.weapon.uncommon.30-39,3
3,disenchant.weapon.uncommon.40-49,3
4,disenchant.weapon.uncommon.50-50,3
5,disenchant.weapon.rare.20-29,3
6,disenchant.weapon.rare.30-39,3
7,disenchant.weapon.rare.40-49,3
8,disenchant.weapon.rare.50-50,3
9,disenchant.weapon.ancient.20-29,3
10,disenchant.weapon.ancient.30-39,3
11,disenchant.weapon.ancient.40-49,3
12,disenchant.weapon.ancient.50-50,3
13,disenchant.weapon.heroic.20-29,3
14,disenchant.weapon.heroic.30-39,3
15,disenchant.weapon.heroic.40-49,3
16,disenchant.weapon.heroic.50-50,3
17,disenchant.weapon.unique.20-29,3
18,disenchant.weapon.unique.30-39,3
19,disenchant.weapon.unique.40-49,3
20,disenchant.weapon.unique.50-50,3
21,disenchant.armor.uncommon.20-29,3
22,disenchant.armor.uncommon.30-39,3
23,disenchant.armor.uncommon.40-49,3
24,disenchant.armor.uncommon.50-50,3
25,disenchant.armor.rare.20-29,3
26,disenchant.armor.rare.30-39,3
27,disenchant.armor.rare.40-49,3
28,disenchant.armor.rare.50-50,3
29,disenchant.armor.ancient.20-29,3
30,disenchant.armor.ancient.30-39,3
31,disenchant.armor.ancient.40-49,3
32,disenchant.armor.ancient.50-50,3
33,disenchant.armor.heroic.20-29,3
34,disenchant.armor.heroic.30-39,3
35,disenchant.armor.heroic.40-49,3
36,disenchant.armor.heroic.50-50,3
37,disenchant.armor.unique.20-29,3
38,disenchant.armor.unique.30-39,3
39,disenchant.armor.unique.40-49,3
40,disenchant.armor.unique.50-50,3
41,disenchant.accessory.uncommon.20-29,3
42,disenchant.accessory.uncommon.30-39,3
43,disenchant.accessory.uncommon.40-49,3
44,disenchant.accessory.uncommon.50-50,3
45,disenchant.accessory.rare.20-29,3
46,disenchant.accessory.rare.30-39,3
47,disenchant.accessory.rare.40-49,3
48,disenchant.accessory.rare.50-50,3
49,disenchant.accessory.ancient.20-29,3
50,disenchant.accessory.ancient.30-39,3
51,disenchant.accessory.ancient.40-49,3
52,disenchant.accessory.ancient.50-50,3
53,disenchant.accessory.heroic.20-29,3
54,disenchant.accessory.heroic.30-39,3
55,disenchant.accessory.heroic.40-49,3
56,disenchant.accessory.heroic.50-50,3
57,disenchant.accessory.unique.20-29,3
58,disenchant.accessory.unique.30-39,3
59,disenchant.accessory.unique.40-49,3
60,disenchant.accessory.unique.50-50,3
61,disenchant.enchanting_gem.common.10-14,3
62,disenchant.enchanting_gem.common.15-19,3
63,disenchant.enchanting_gem.uncommon.20-24,3
64,disenchant.enchanting_gem.uncommon.25-29,3
65,disenchant.enchanting_gem.rare.30-34,3
66,disenchant.enchanting_gem.rare.35-39,3
67,disenchant.enchanting_gem.ancient.40-44,3
68,disenchant.enchanting_gem.ancient.45-49,3
69,disenchant.enchanting_gem.heroic.50-50,3
70,disenchant.weapon.uncommon.01-19,3
71,disenchant.weapon.rare.01-19,3
72,disenchant.weapon.ancient.01-19,3
73,disenchant.weapon.heroic.01-19,3
74,disenchant.weapon.unique.01-19,3
75,disenchant.armor.uncommon.01-19,3
76,disenchant.armor.rare.01-19,3
77,disenchant.armor.ancient.01-19,3
78,disenchant.armor.heroic.01-19,3
79,disenchant.armor.unique.01-19,3
80,disenchant.accessory.uncommon.01-19,3
81,disenchant.accessory.rare.01-19,3
82,disenchant.accessory.ancient.01-19,3
83,disenchant.accessory.heroic.01-19,3
84,disenchant.accessory.unique.01-19,3
86,disenchant.1handed_weapon.illustrious,
87,disenchant.1handed_weapon.magnificent,
88,disenchant.1handed_weapon.epherium,
89,disenchant.1handed_weapon.delphinad,
90,disenchant.armor.illustrious,
91,disenchant.armor.magnificent,
92,disenchant.armor.epherium,
93,disenchant.armor.delphinad,
94,disenchant.2handed_weapon.illustrious,
95,disenchant.2handed_weapon.epherium,
96,disenchant.2handed_weapon.delphinad,
