id,wi_id,item_id,count_min,count_max,percent,remain_time,group_id
1,0,2172,1,1,10000,100000,0
2,0,3,1,1,10000,100000,0
3,0,24,1,1,20,100000,0
5,0,626,1,1,10000,100000,0
6,0,1277,1,1,10000,100000,0
7,0,534,1,3,10000,100000,0
9,0,3,1,1,10000,100000,0
10,0,3,8,8,10000,100000,0
11,0,3,1,1,60,100000,0
12,0,2131,1,1,10000,100000,0
15,0,126,1,1,10000,100000,0
17,0,3,1,3,10000,100000,0
19,0,2738,2,4,80,100000,0
20,0,3,1,1,10000,100000,0
23,0,3886,1,1,10000,100000,0
25,0,1455,1,1,10000,100000,0
32,0,2750,1,1,10000,100000,0
33,0,5,1,1,10000,100000,0
37,0,4029,1,1,10000,100000,0
42,73,3410,1,3,80,100000,0
43,73,3719,0,1,8,100000,0
45,0,3950,1,1,10000,100000,0
47,0,3950,1,1,10000,100000,0
50,0,3903,1,1,7000,100000,0
53,0,3906,1,1,10000,100000,0
56,0,3908,1,1,10000,100000,0
57,0,3909,1,1,10000,100000,0
60,0,3915,1,1,10000,100000,0
62,0,1317,1,1,10000,100000,0
63,0,1322,1,1,10000,100000,0
64,0,2659,1,1,10000,100000,0
65,0,2658,1,1,10000,100000,0
66,0,1328,1,1,10000,100000,0
69,0,3918,1,1,10000,100000,0
70,0,2672,1,1,10000,100000,0
71,0,3938,1,1,10000,100000,0
72,0,3902,1,1,10000,100000,0
74,0,4030,1,1,10000,100000,0
75,0,4030,1,1,10000,100000,0
76,0,4030,1,1,10000,100000,0
82,0,8006,1,3,10000,100000,0
83,0,3951,1,1,10000,100000,0
85,0,4028,2,2,10000,100000,0
89,0,3627,1,1,8000,100000,0
92,0,3628,0,2,8000,100000,0
94,0,3692,1,2,7111,100000,0
95,0,3718,0,1,500,100000,0
98,0,8022,1,3,10000,100000,0
99,0,8081,1,1,500,100000,0
103,0,8023,1,1,10000,100000,0
105,0,8026,1,3,10000,100000,0
106,0,8067,1,1,500,100000,0
108,0,8027,1,1,10000,100000,0
109,0,8086,1,1,500,100000,0
110,0,2142,1,1,10000,100000,0
112,0,3413,2,3,9600,100000,0
114,0,1428,1,1,10000,100000,0
121,0,8060,1,3,10000,100000,0
122,0,8080,1,1,500,100000,0
123,0,3719,1,1,572,100000,1
124,0,3720,0,0,0,100000,1
125,0,8003,1,3,10000,100000,0
126,0,3742,2,5,9143,100000,0
127,0,3743,2,5,9143,100000,0
128,0,3744,2,5,9143,100000,0
129,0,3745,2,5,9143,100000,0
130,0,3746,2,5,9143,100000,0
131,0,3747,2,5,9143,100000,0
132,0,3748,2,5,9143,100000,0
133,0,3749,2,5,9143,100000,0
134,0,3750,2,5,9143,100000,0
135,0,8002,1,3,10000,100000,0
136,0,8002,1,3,10000,100000,0
137,0,8002,1,3,10000,100000,0
139,0,3730,2,5,9143,100000,0
140,0,3731,2,5,9143,100000,0
141,0,3732,2,5,9143,100000,0
142,0,3733,2,5,9143,100000,0
143,0,3734,2,5,9143,100000,0
144,0,3735,2,5,9143,100000,0
145,0,3736,2,5,9143,100000,0
146,0,3737,2,5,9143,100000,0
147,0,3738,2,5,9143,100000,0
148,0,3739,2,5,9143,100000,0
149,0,3740,2,5,9143,100000,0
150,0,3714,4,6,9600,100000,0
151,0,3715,0,1,8000,100000,0
152,0,8014,1,3,10000,100000,0
154,0,3950,1,1,10000,100000,0
155,0,7991,1,3,10000,100000,0
157,0,7992,1,3,10000,100000,0
158,0,7994,1,3,10000,100000,0
161,0,8059,1,1,1000,100000,0
162,0,8041,1,1,500,100000,0
166,0,3721,0,1,588,100000,1
167,0,3722,0,0,0,100000,1
168,0,3723,0,0,0,100000,1
169,0,3724,0,0,0,100000,1
170,0,3725,0,0,0,100000,1
171,0,3721,0,1,588,100000,1
172,0,3722,0,0,0,100000,1
173,0,3723,0,0,0,100000,1
174,0,3724,0,0,0,100000,1
175,0,3725,0,0,0,100000,1
176,0,3721,0,1,588,100000,1
177,0,3722,0,0,0,100000,1
178,0,3723,0,0,0,100000,1
179,0,3724,0,0,0,100000,1
180,0,3725,0,0,0,100000,1
181,0,3721,0,1,588,100000,1
182,0,3722,0,0,0,100000,1
183,0,3723,0,0,0,100000,1
184,0,3724,0,0,0,100000,1
185,0,3725,0,0,0,100000,1
186,0,3721,0,1,588,100000,1
187,0,3722,0,0,0,100000,1
188,0,3723,0,0,0,100000,1
189,0,3724,0,0,0,100000,1
190,0,3725,0,0,0,100000,1
191,0,3721,0,1,588,100000,1
192,0,3722,0,0,0,100000,1
193,0,3723,0,0,0,100000,1
194,0,3724,0,0,0,100000,1
195,0,3725,0,0,0,100000,1
196,0,3721,0,1,588,100000,1
197,0,3722,0,0,0,100000,1
198,0,3723,0,0,0,100000,1
199,0,3724,0,0,0,100000,1
200,0,3725,0,0,0,100000,1
201,0,3721,0,1,588,100000,1
202,0,3722,0,0,0,100000,1
203,0,3723,0,0,0,100000,1
204,0,3724,0,0,0,100000,1
205,0,3725,0,0,0,100000,1
206,0,3721,0,1,588,100000,1
207,0,3722,0,0,0,100000,1
208,0,3723,0,0,0,100000,1
209,0,3724,0,0,0,100000,1
210,0,3725,0,0,0,100000,1
211,0,8008,1,3,10000,100000,0
212,0,8033,1,1,1000,100000,0
213,0,8008,1,3,10000,100000,0
214,0,8046,1,1,1000,100000,0
215,0,8008,1,3,1000,100000,0
216,0,8064,1,1,1000,100000,0
217,0,8008,1,3,10000,100000,0
218,0,8066,1,1,1000,100000,0
219,0,8008,1,3,10000,100000,0
220,0,8049,1,1,1000,100000,0
238,0,8002,1,3,10000,100000,0
239,0,8071,1,1,500,100000,0
240,0,8070,1,1,500,100000,0
241,0,3721,0,1,588,100000,1
242,0,3722,0,0,0,100000,1
243,0,3723,0,0,0,100000,1
244,0,3724,0,0,0,100000,1
245,0,3725,0,0,0,100000,1
246,0,3721,0,1,588,100000,1
247,0,3722,0,0,0,100000,1
248,0,3723,0,0,0,100000,1
249,0,3724,0,0,0,100000,1
250,0,3725,0,0,0,100000,1
251,0,3721,0,1,588,100000,1
252,0,3722,0,0,0,100000,1
253,0,3723,0,0,0,100000,1
254,0,3724,0,0,0,100000,1
255,0,3725,0,0,0,100000,1
256,0,3721,0,1,588,100000,1
257,0,3722,0,0,0,100000,1
258,0,3723,0,0,0,100000,1
259,0,3724,0,0,0,100000,1
260,0,3725,0,0,0,100000,1
261,0,3721,0,1,588,100000,1
262,0,3722,0,0,0,100000,1
263,0,3723,0,0,0,100000,1
264,0,3724,0,0,0,100000,1
265,0,3725,0,0,0,100000,1
