id,name,zone_key,group_id,closed,display_text,faction_id,zone_climate_id
1,w_gweonid_forest_1,129,1,f,그위오니드 숲,148,2
2,w_marianople_1,133,2,f,마리아노플,148,2
3,e_steppe_belt_1,136,14,f,초원의 띠,,5
4,e_ruins_of_hariharalaya_1,137,15,f,하리하랄라야의 폐허,,3
5,e_lokas_checkers_1,138,16,f,로카의 장기말들,,2
6,e_ynystere_1,139,17,f,이니스테르,,2
7,w_garangdol_plains_1,140,3,f,가랑돌 평원,148,2
8,e_sunrise_peninsula_1,141,4,f,동틀녘 반도,149,5
9,w_solzreed_1,142,5,f,솔즈리드 반도,148,2
10,w_white_forest_1,143,18,f,하얀 숲,148,2
11,w_lilyut_meadow_1,144,6,f,릴리엇 구릉지,148,2
12,w_the_carcass_1,145,19,f,뼈의 땅,,4
13,e_rainbow_field_1,146,7,t,무지개 벌판,149,5
14,w_cross_plains_1,148,20,f,십자별 평원,,2
15,w_two_crowns_1,149,8,f,두 왕관,148,2
16,w_cradle_of_genesis,150,21,t,태초의 요람,148,2
17,w_golden_plains_1,151,22,f,황금 평원,,2
18,e_mahadevi_1,153,9,f,마하데비,149,3
19,w_bronze_rock_1,154,10,t,청동 바위산,148,4
20,e_hasla_1,155,23,f,하슬라,,2
21,e_falcony_plateau_1,156,11,f,매사냥 고원,149,2
22,e_sunny_wilderness_1,157,13,t,불볕 황야,149,5
23,e_tiger_spine_mountains_1,158,24,f,호랑이 등뼈 산맥,149,2
24,e_ancient_forest,159,25,f,고대의 숲,149,2
25,e_singing_land_1,160,12,f,노래의 땅,149,2
26,w_hell_swamp_1,161,26,f,지옥 늪지대,,3
27,w_long_sand_1,162,27,f,긴 모래톱,,3
28,w_barren_land,164,28,t,황량한 땅,,0
29,s_lost_island,172,30,f,길 잃은 바다,,2
30,s_lostway_sea,173,30,f,길 잃은 바다,,2
31,login,0,,f,,,0
32,siegefield,2,,f,,,0
33,npc_single,3,,f,,,0
34,cbsuh_nonpc,4,,f,,,0
35,old_w_garangdol,21,,f,,,0
36,old_w_marianople,22,,f,,,0
37,old_w_solzreed,23,,f,,,0
38,old_w_two_crowns,24,,f,,,0
39,old_w_cross_plains,25,,f,,,0
40,old_w_white_forest,29,,f,,,0
41,old_w_gold_moss,30,,f,,,0
42,old_w_longsand,31,,f,,,0
43,old_w_gold_plains,32,,f,,,0
44,old_w_cradle_genesis,33,,f,,,0
45,old_w_bronze_rock,34,,f,,,0
