id,count,item_id,item_count
1,10,27301,1
2,10,27301,1
3,10,27301,1
4,10,27301,1
5,10,27301,1
6,10,27301,1
7,10,27301,1
8,10,27301,1
9,10,27301,1
10,10,27301,1
11,20,27301,1
12,20,27301,1
13,20,27301,1
14,20,27301,1
15,20,27301,1
16,20,27301,1
17,10,27301,1
18,10,27301,1
19,10,27301,1
20,10,27301,1
21,10,27301,1
22,10,27301,1
23,10,27301,1
24,10,27301,1
25,10,27301,1
26,10,27301,1
27,10,27301,1
28,10,27301,1
29,10,27301,1
30,10,27301,1
31,10,27301,1
32,10,27301,1
33,10,27301,1
34,10,27301,1
35,10,27301,1
36,10,27301,1
37,10,27301,1
38,10,27301,1
39,10,27301,1
40,10,27301,1
41,10,27301,1
42,10,27301,1
43,10,27301,1
44,10,27301,1
45,10,27301,1
46,10,27301,1
47,10,27301,1
48,10,27301,1
49,10,27301,1
50,10,27301,1
51,10,27301,1
52,10,27301,1
53,10,27301,1
54,10,27301,1
55,10,27301,1
56,10,27301,1
57,10,27301,1
58,10,27301,1
59,10,27301,1
60,10,27301,1
61,10,27301,1
62,10,27301,1
63,10,27301,1
64,10,27301,1
65,10,27301,1
66,10,27301,1
67,3,8343,1
68,10,8343,1
