id,name,owner_npc_id,kind_id
1,npc.1,1,0
2,npc.216,216,0
3,npc.217,217,0
4,npc.347,347,0
5,npc.371,371,0
6,npc.415,415,0
7,npc.422,422,0
8,npc.443,443,0
9,npc.626,626,0
10,npc.628,628,0
11,npc.657,657,0
12,npc.660,660,0
13,npc.759,759,0
14,npc.854,854,0
15,npc.856,856,0
16,npc.881,881,0
17,npc.911,911,0
18,npc.912,912,0
19,npc.925,925,0
20,npc.926,926,0
21,npc.927,927,0
22,npc.928,928,0
23,npc.929,929,0
24,npc.930,930,0
25,npc.931,931,0
26,npc.932,932,0
27,npc.933,933,0
28,npc.934,934,0
29,npc.935,935,0
30,npc.936,936,0
31,npc.937,937,0
32,npc.938,938,0
33,npc.939,939,0
34,npc.940,940,0
35,npc.941,941,0
36,npc.942,942,0
37,npc.944,944,0
38,npc.945,945,0
39,npc.959,959,0
40,npc.2079,2079,0
41,npc.2096,2096,0
42,npc.3127,3127,0
43,npc.3548,3548,0
44,npc.3580,3580,0
45,npc.3584,3584,0
46,npc.3687,3687,0
47,npc.3794,3794,0
48,npc.3838,3838,0
49,npc.3839,3839,0
50,npc.3845,3845,0
51,npc.3846,3846,0
52,npc.3847,3847,0
53,npc.3848,3848,0
54,npc.3849,3849,0
55,npc.3850,3850,0
56,npc.3851,3851,0
57,npc.3852,3852,0
58,npc.3853,3853,0
59,npc.3854,3854,0
60,npc.3855,3855,0
61,npc.3856,3856,0
62,npc.3857,3857,0
63,npc.3858,3858,0
64,npc.3859,3859,0
65,npc.3860,3860,0
66,npc.3861,3861,0
67,npc.3862,3862,0
68,npc.3863,3863,0
69,npc.3864,3864,0
70,npc.3865,3865,0
71,npc.3866,3866,0
72,npc.3867,3867,0
73,npc.3868,3868,0
74,npc.3869,3869,0
75,npc.3870,3870,0
76,npc.3871,3871,0
77,npc.3872,3872,0
78,npc.3873,3873,0
79,npc.3874,3874,0
80,npc.3875,3875,0
81,npc.3876,3876,0
82,npc.3921,3921,0
83,npc.3922,3922,0
84,npc.3923,3923,0
85,npc.3924,3924,0
86,npc.3925,3925,0
87,npc.3926,3926,0
88,npc.3927,3927,0
89,npc.3928,3928,0
90,npc.3929,3929,0
91,npc.3930,3930,0
92,npc.3931,3931,0
93,npc.3932,3932,0
94,npc.3933,3933,0
95,npc.3934,3934,0
96,npc.3935,3935,0
97,npc.3936,3936,0
98,npc.3937,3937,0
99,npc.3938,3938,0
100,npc.3939,3939,0
101,npc.3940,3940,0
102,npc.3941,3941,0
103,npc.3942,3942,0
104,npc.3943,3943,0
105,npc.3944,3944,0
106,npc.3945,3945,0
107,npc.3946,3946,0
108,npc.3947,3947,0
109,npc.3948,3948,0
110,npc.3952,3952,0
111,npc.3953,3953,0
112,npc.3956,3956,0
113,npc.3966,3966,0
114,npc.3967,3967,0
115,npc.3991,3991,0
116,npc.3992,3992,0
117,npc.3998,3998,0
119,<무기 01-10>,0,0
120,<무기 11-20>,0,0
121,<무기 21-30>,0,0
122,<무기 31-40>,0,0
123,<의상 01-10>,0,0
124,<의상 11-20>,0,0
125,<의상 21-30>,0,0
126,<의상 31-40>,0,0
127,<갑옷 01-10>,0,0
128,<갑옷 11-20>,0,0
129,<갑옷 21-30>,0,0
130,<갑옷 31-40>,0,0
131,<음식 01-10>,0,0
132,<음식 11-20>,0,0
133,<음식 21-30>,0,0
134,<음식 31-40>,0,0
135,<약품 01-10>,0,0
136,<약품 11-20>,0,0
137,<약품 21-30>,0,0
138,<약품 31-40>,0,0
139,<건축 도면>,0,0
140,<가구 재료>,0,0
141,<묘목 - 지역1>,0,0
142,<묘목 - 지역2>,0,0
143,<묘목 - 지역3>,0,0
144,<묘목 - 지역4>,0,0
145,<재료 - 분류1>,0,0
146,<재료 - 분류2>,0,0
147,<재료 - 분류3>,0,0
148,<재료 - 분류4>,0,0
149,<잡화 - 분류1>,0,0
150,<잡화 - 분류2>,0,0
151,<잡화 - 분류3>,0,0
152,<잡화 - 분류4>,0,0
153,<선박 자재>,0,0
154,<탈것 - 말>,0,0
155,npc.625,625,0
156,<길잡이 도구>,0,0
158,npc.1802,1802,0
159,공성 무기 상인,0,0
160,npc.5591,5591,0
161,npc.5592,5592,0
162,npc.5629,5629,0
163,npc.5630,5630,0
164,Merchant Pack 164 (생활점수),0,3
167,npc.5135,5135,0
168,Merchant Pack 168,0,0
169,이프나의 후예 용병단,0,0
170,<타워디펜스> 골렘 기계 패키지,0,0
171,<씨앗>,0,0
172,surprise pack,0,0
173,npc.7088,7088,0
174,Merchant Pack 174,0,0
175,npc.2281,2281,0
176,<마리아노플-시크>,0,0
177,npc.7183,7183,0
178,<점술가>,0,0
179,npc.4662,4662,0
180,인터랙션 테스트 아이템 상인,0,0
182,<무기 41-50>,0,0
183,<의상 41-50>,0,0
184,<갑옷 41-50>,0,0
185,<음식 41-50>,0,0
186,<약품 41-50>,0,0
187,Merchant Pack 187,0,0
188,Merchant Pack 188,0,0
189,Merchant Pack 189,0,0
190,<가축 관리인>,0,0
191,npc.8168,8168,0
192,<명예 상인>,0,1
193,Merchant Pack 193,0,0
195,Merchant Pack 195,0,0
196,npc.5529,5529,0
197,<그위오니드 전용 - 잡화상인>,0,0
198,npc.7072,7072,0
199,npc.4336,4336,0
200,Merchant Pack 200,0,0
201,Merchant Pack 201,0,0
202,npc.10157,10157,0
203,<초원의 띠 테스트 - 상인>,0,0
204,<로카의 장기말들 테스트 - 상인>,0,0
209,잔치 용품,0,0
210,폭죽 상인,0,0
