id,merchant_pack_id,item_id,grade_id
1580,119,21851,0
1581,119,21879,0
1582,119,21907,0
1583,119,21921,0
1584,119,21949,0
1585,119,21963,0
1586,119,21991,0
1587,119,22005,0
1588,119,22033,0
1589,119,22047,0
1590,119,22075,0
1591,119,22089,0
1592,119,22103,0
1594,119,22131,0
1595,119,22159,0
1596,119,22173,0
1600,119,22201,0
1720,123,22565,0
1721,123,22593,0
1722,123,22425,0
1723,123,22509,0
1724,123,22537,0
1726,123,22453,0
1728,123,22481,0
1733,123,22229,0
1734,123,22313,0
1735,123,22341,0
1736,123,22369,0
1738,123,22397,0
1739,123,22257,0
1740,123,22285,0
1818,127,22621,0
1819,127,22649,0
1820,127,22677,0
1821,127,22705,0
1822,127,22733,0
1823,127,22761,0
1824,127,22789,0
1867,131,8485,0
1888,134,8505,0
1892,135,8515,0
1938,156,8121,0
2055,140,8614,0
2056,140,8611,0
2057,140,8610,0
2058,140,8583,0
2059,140,8588,0
2060,140,8587,0
2061,140,8586,0
2062,140,8589,0
2063,140,8584,0
2064,140,8590,0
2065,140,8609,0
2066,140,8607,0
2067,140,8631,0
2068,140,8604,0
2069,140,8603,0
2070,140,8627,0
2071,140,8636,0
2072,140,8633,0
2073,140,8637,0
2074,140,8632,0
2075,140,8635,0
2076,140,8634,0
2077,140,8638,0
2078,140,8639,0
2079,140,8640,0
2080,140,8591,0
2081,140,8592,0
2082,140,8593,0
2083,140,8601,0
2084,140,8597,0
2085,140,8598,0
2086,140,8596,0
2087,140,8600,0
2088,140,8624,0
2089,140,8623,0
2090,140,8630,0
2091,140,8629,0
2092,140,8625,0
2093,140,8641,0
2094,140,8606,0
2095,140,8605,0
2096,140,8595,0
2097,140,8622,0
2098,140,8602,0
2099,140,8620,0
2100,140,8615,0
2101,140,8619,0
2102,140,8626,0
2103,140,8621,0
2104,140,8616,0
2105,140,8617,0
2106,140,8618,0
2107,140,8643,0
2108,140,8642,0
2109,140,8608,0
2110,140,8613,0
2328,149,4045,0
2329,149,4053,0
2333,159,150,0
2334,159,156,0
2335,159,13817,0
2347,163,13709,0
2348,165,14037,0
2349,165,14034,0
2361,170,14606,1
2362,170,14605,1
2363,170,14604,1
2364,170,14603,1
2365,170,14602,1
2378,41,4009,1
2379,172,14918,1
2382,176,8500,1
2383,176,8502,1
2384,176,8507,1
2388,153,14782,0
2394,153,15563,0
2408,145,8376,1
2463,177,15782,1
2465,177,15784,1
2466,177,15785,1
2467,177,15786,1
2468,177,15787,1
2469,177,15788,1
2470,180,15864,1
2471,180,15863,1
2472,180,15693,1
2473,180,15727,1
2474,180,15702,1
2475,180,15720,1
2476,180,15690,1
2477,180,15710,1
2478,180,15868,1
2584,180,15701,0
2585,149,15869,0
2606,139,16025,0
2607,139,16026,0
2608,139,16027,0
2611,190,16225,0
2612,190,16226,0
2613,190,16229,0
2614,190,16230,0
2629,141,4856,0
2639,141,13725,0
2645,171,15676,0
2647,171,15675,0
2648,171,15673,0
2649,171,15669,0
2650,171,15670,0
2651,171,15672,0
2652,171,15674,0
2653,171,15678,0
2654,171,15667,0
2655,171,15682,0
2656,171,15668,0
2657,171,15671,0
2658,171,16269,0
2662,171,15659,0
2663,171,15664,0
2664,171,15661,0
2665,171,15660,0
2666,171,15662,0
2667,171,15663,0
2668,171,15657,0
2669,171,15666,0
2670,171,15665,0
2673,171,15651,0
2674,171,15652,0
2676,171,15653,0
2677,171,15655,0
2679,171,15646,0
2680,171,15647,0
2681,171,16282,0
2686,120,21851,0
2687,120,21879,0
2688,120,21907,0
2689,120,21921,0
2690,120,21949,0
2691,120,21963,0
2692,120,21991,0
2693,120,22005,0
2694,120,22033,0
2695,120,22047,0
2696,120,22075,0
2697,120,22089,0
2698,120,22103,0
2699,120,22131,0
2700,120,22159,0
2701,120,22173,0
2703,120,22201,0
2722,121,21851,0
2723,121,21879,0
2724,121,21907,0
2725,121,21921,0
2726,121,21949,0
2727,121,21963,0
2728,121,21991,0
2729,121,22005,0
2730,121,22033,0
2731,121,22047,0
2732,121,22075,0
2733,121,22089,0
2734,121,22103,0
2735,121,22131,0
2736,121,22159,0
2737,121,22173,0
2739,121,22201,0
2758,122,21851,0
2759,122,21879,0
2760,122,21907,0
2761,122,21921,0
2762,122,21949,0
2763,122,21963,0
2764,122,21991,0
2765,122,22005,0
2766,122,22033,0
2767,122,22047,0
2768,122,22075,0
2769,122,22089,0
2771,122,22103,0
2772,122,22131,0
2773,122,22159,0
2774,122,22173,0
2776,122,22201,0
2796,124,22565,0
2797,124,22593,0
2798,124,22425,0
2799,124,22509,0
2800,124,22537,0
2801,124,22453,0
2802,124,22481,0
2803,124,22229,0
2804,124,22313,0
2805,124,22341,0
2806,124,22369,0
2807,124,22397,0
2808,124,22257,0
2809,124,22285,0
2811,125,22565,0
2812,125,22593,0
2813,125,22425,0
2814,125,22509,0
2815,125,22537,0
2816,125,22453,0
2817,125,22481,0
2818,125,22229,0
2819,125,22313,0
2820,125,22341,0
2821,125,22369,0
2822,125,22397,0
2823,125,22257,0
2824,125,22285,0
2825,126,22565,0
2826,126,22593,0
2827,126,22425,0
2828,126,22509,0
2829,126,22537,0
2830,126,22453,0
2831,126,22481,0
2832,126,22229,0
2833,126,22313,0
2834,126,22341,0
2835,126,22369,0
2836,126,22397,0
2837,126,22257,0
2838,126,22285,0
2839,128,22621,0
2840,128,22649,0
2841,128,22677,0
2842,128,22705,0
2843,128,22733,0
2844,128,22761,0
2845,128,22789,0
2846,129,22621,0
2847,129,22649,0
2848,129,22677,0
2849,129,22705,0
2850,129,22733,0
2851,129,22761,0
2852,129,22789,0
2853,130,22621,0
2854,130,22649,0
2855,130,22677,0
2856,130,22705,0
2857,130,22733,0
2858,130,22761,0
2859,130,22789,0
2860,171,16000,0
2861,182,21851,0
2862,182,21879,0
2863,182,21907,0
2864,182,21921,0
2865,182,21949,0
2866,182,21963,0
2867,182,21991,0
2868,182,22005,0
2869,182,22033,0
2870,182,22047,0
2871,182,22075,0
2872,182,22089,0
2873,182,22103,0
2874,182,22131,0
2875,182,22159,0
2876,182,22173,0
2878,182,22201,0
2897,183,22565,0
2898,183,22593,0
2899,183,22425,0
2900,183,22509,0
2901,183,22537,0
2902,183,22453,0
2903,183,22481,0
2904,183,22229,0
2905,183,22313,0
