id,craft_pack_id,craft_id
30,7,2816
185,9,38
186,9,39
187,9,35
188,9,40
189,10,2815
190,10,2815
191,10,2815
192,11,276
193,11,2810
194,11,2811
195,12,87
196,12,2621
197,12,3004
198,12,3507
2470,9,3
2471,10,3
2472,11,3
2473,12,3
2494,33,2652
2495,34,8
2496,35,8
2497,36,8
2498,37,8
2499,38,8
2500,39,8
2501,40,8
2502,41,8
2503,42,8
2504,43,8
2505,44,8
2506,45,8
2507,46,8
2508,47,8
2509,48,8
2510,49,8
2511,50,8
2512,51,8
2513,52,8
2514,53,8
2516,55,126
2517,56,127
2518,57,128
2519,58,129
2520,59,130
2521,60,131
2522,61,132
2523,62,133
2524,63,134
2525,64,135
2526,65,136
2527,66,137
2528,67,138
2529,68,139
2530,69,140
2531,70,141
2532,71,142
2533,72,143
2534,73,144
2535,74,145
2536,75,146
2537,76,147
2538,77,148
2539,78,149
2540,79,150
2541,80,151
2542,81,152
2543,82,2621
2544,83,50
2545,84,5411
2546,85,5445
2547,86,5450
2549,88,2841
2550,89,2842
2551,90,5545
2554,93,5599
2556,95,5630
2557,96,2841
2559,98,5691
2560,99,5690
2566,105,5970
2569,108,5998
2571,110,6029
2572,111,6030
2573,112,6036
2574,113,115
2575,114,6057
2576,115,8
2577,116,8
2578,117,8
2579,118,8
2580,119,8
2581,120,8
2582,121,8
2583,122,8
2584,123,8
2585,124,8
2586,125,8
2587,126,8
2588,127,8
2589,128,8
2590,129,8
2591,130,8
2592,131,8
2593,132,8
2594,133,8
2595,134,8
2596,135,8
2597,136,8
2598,137,8
2599,138,8
2600,139,8
2601,140,8
2602,141,8
2603,142,8
2604,143,8
2605,144,8
2606,145,8
2607,146,8
2608,147,8
2609,148,8
2610,149,8
2611,150,8
2612,151,8
2613,152,8
2614,153,8
2615,154,8
2616,155,8
2617,156,8
2618,157,8
2619,158,8
2620,159,8
2621,160,8
2622,161,8
2623,162,8
2624,163,8
2625,164,8
2626,165,8
2627,166,8
2628,167,8
2629,168,8
2630,169,8
2631,170,8
2632,171,8
2633,172,8
2634,173,8
2635,174,8
2636,175,8
2637,176,8
2638,177,8
2639,178,8
2640,179,8
2641,180,8
2642,181,8
2643,182,8
2644,183,8
2645,184,8
2646,185,9
2647,186,9
2648,187,9
2649,188,9
2650,189,10
2651,190,10
2652,191,10
2653,192,11
2654,193,11
2655,194,11
2656,195,12
2657,196,12
2658,197,12
2659,198,12
2660,313,16
2661,314,16
2662,315,16
2663,316,16
2664,317,16
2665,318,16
2666,319,16
2667,324,18
2668,325,18
2669,326,18
2670,327,18
2671,328,18
2672,334,20
2673,335,20
2674,336,20
2675,337,20
2676,338,20
2677,339,20
2678,340,20
2679,341,20
2680,877,25
2681,878,25
2682,879,25
2683,880,25
2684,881,25
2685,882,25
2686,883,25
2687,884,25
2688,885,25
2689,886,25
2690,887,25
2691,888,25
2692,889,25
2693,890,25
2694,891,25
2695,892,25
2696,893,25
2697,894,25
2698,895,25
2699,896,25
2700,897,25
2701,898,25
2702,899,25
2703,900,25
2704,901,25
2705,902,25
2706,903,25
2707,904,25
2708,905,25
2709,906,25
2710,907,25
2711,908,25
2712,909,25
2713,910,25
2714,911,25
2715,912,25
2716,913,25
2717,914,25
2718,915,25
2719,916,25
2720,917,25
2721,918,25
2722,919,25
2723,920,25
2724,921,25
2725,922,25
2726,923,25
2727,924,25
2728,925,25
2729,926,25
2730,927,25
2731,928,25
2732,929,25
2733,930,25
2734,931,25
2735,932,25
2736,933,25
2737,934,25
2738,935,25
2739,936,25
2740,937,25
2741,938,25
2742,939,25
2743,940,25
2744,941,25
2745,942,25
2746,943,25
2747,944,25
2748,945,25
2749,946,25
2750,947,25
2751,948,25
2752,949,25
2753,950,25
2754,951,25
2755,952,25
2756,953,25
2757,954,25
2758,955,25
2759,956,25
2760,957,25
2761,958,25
2762,959,25
2763,960,25
2764,961,25
2765,962,25
2766,963,25
2767,964,25
2768,965,25
2769,966,25
2770,967,25
2771,968,25
2772,969,25
2773,970,25
2774,971,25
2775,972,25
2776,973,25
2777,974,25
2778,975,25
2779,976,25
2780,977,25
2781,978,25
2782,979,25
2783,980,25
2784,981,25
2785,982,25
2786,983,25
2787,984,25
2788,985,25
2789,986,25
2790,987,25
2791,988,25
2792,989,25
2793,990,25
2794,991,25
2795,992,25
2796,993,25
2797,994,25
2798,995,25
2799,996,25
2800,997,25
2801,998,25
2802,999,25
2803,1000,25
2804,1001,25
2805,1002,25
2806,1003,25
2807,1004,25
2808,1005,25
2809,1006,25
2810,1007,25
2811,1008,25
2812,1009,25
2813,1010,25
2814,1011,25
2815,1012,25
2816,1013,25
2817,1014,25
2818,1015,25
2819,1016,25
2820,1017,25
2821,1018,25
2822,1019,25
2823,1020,25
2824,1021,25
2825,1022,25
2826,1023,25
2827,1024,25
2828,1025,25
2829,1026,25
2830,1027,25
2831,1028,25
2832,1029,25
2833,1030,25
2834,1031,25
2835,1032,25
2836,1033,25
2837,1034,25
2838,1035,25
2839,1036,25
2840,1037,25
2841,1038,25
2842,1039,25
2843,1040,25
2844,1041,25
2845,1042,25
2846,1043,25
2847,1044,25
2848,1045,25
2849,1046,25
2850,1047,25
2851,1048,25
2852,1049,25
2853,1050,25
2854,1051,25
2855,1052,25
2856,1053,25
2857,1054,25
2858,1055,25
2859,1056,25
2860,1057,25
2861,1058,25
2862,1059,25
2863,1060,25
2864,1061,25
2865,1062,25
2866,1063,25
2867,1064,25
2868,1065,25
2869,1066,25
2870,1067,25
2871,1068,25
2872,1069,25
2873,1070,25
2874,1071,25
2875,1072,25
2876,1073,25
2877,1074,25
2878,1075,25
2879,1076,25
2880,1077,25
2881,1078,25
2882,1079,25
2883,1080,25
2884,1081,25
2885,1082,25
2886,1083,25
2887,1084,25
2888,1085,25
2889,1086,25
2890,1087,25
2891,1088,25
2892,1089,25
2893,1090,25
2894,1091,25
2895,1092,25
2896,1093,25
2897,1094,25
2898,1095,25
2899,1096,25
2900,1097,25
2901,1098,25
2902,1099,25
2903,1100,25
2904,1101,25
2905,1102,25
2906,1103,25
2907,1104,25
2908,1105,25
2909,1106,25
2910,1107,25
2911,1108,25
2912,1109,25
2913,1110,25
2914,1111,25
2915,1112,25
2916,1113,25
2917,1114,25
2918,1115,25
2919,1116,25
2920,1117,25
2921,1118,25
2922,1119,25
2923,1120,25
2924,1121,25
2925,1122,25
2926,1123,25
2927,1124,25
2928,1125,25
2929,1126,25
2930,1127,25
2931,1128,25
2932,1129,25
2933,1130,25
2934,1131,25
2935,1132,25
2936,1133,25
2937,1134,25
2938,1135,25
2939,1136,25
2940,1137,25
2941,1138,25
2942,1139,25
2943,1140,25
2944,1141,25
2945,1142,25
2946,1143,25
2947,1144,25
2948,1145,25
2949,1146,25
2950,1147,25
2951,1148,25
2952,1149,25
2953,1150,25
2954,1151,25
2955,1152,25
2956,1153,25
2957,1154,25
2958,1155,25
2959,1156,25
2960,1157,25
2961,1158,25
2962,1159,25
2963,1160,25
2964,1161,25
2965,1162,25
2966,1163,25
2967,1164,25
2968,1165,25
2969,1166,25
2970,1167,25
2971,1168,25
2972,1169,25
2973,1170,25
2974,1171,25
2975,1172,25
2976,1173,25
2977,1174,25
2978,1175,25
2979,1176,25
2980,1177,25
2981,1178,25
2982,1179,25
2983,1180,25
2984,1181,25
2985,1182,25
2986,1183,25
2987,1184,25
2988,1185,25
2989,1186,25
2990,1187,25
2991,1188,25
2992,1189,25
2993,1190,25
2994,1191,25
2995,1192,25
2996,1193,25
2997,1194,25
2998,1195,25
2999,1196,25
3000,1197,25
3001,1198,25
3002,1199,25
3003,1200,25
3004,1201,25
3005,1202,25
3006,1203,25
3007,1204,25
3008,1205,25
3009,1206,25
3010,1207,26
3011,1208,27
3012,1209,27
3013,1210,27
3014,1368,19
3015,1369,19
3016,1370,19
3017,1371,19
3018,1372,19
3019,1373,19
3020,1374,23
3021,1375,23
3022,1376,23
3023,1377,23
3024,1378,23
3025,1379,23
3026,1380,23
3027,1381,23
3028,1382,23
3029,1383,23
3030,1384,23
3031,1385,23
3032,1386,23
3033,1387,23
3034,1388,23
3035,1389,23
3036,1390,23
3037,1391,23
3038,1392,23
3039,1393,23
3040,1394,23
3041,1395,23
3042,1396,23
3043,1397,23
3044,1398,23
3045,1399,23
3046,1400,23
3047,1401,23
3048,1402,23
3049,1403,23
3050,1404,23
3051,1405,23
3052,1406,23
3053,1407,23
3054,1408,23
3055,1409,23
3056,1410,23
3057,1411,23
3058,1412,23
3059,1413,23
3060,1414,23
3061,1415,23
3062,1416,23
3063,1417,23
3064,1418,23
3065,1419,23
3066,1420,23
3067,1421,23
3068,1422,23
3069,1423,23
3070,1424,23
3071,1425,23
3072,1426,23
3073,1427,23
3074,1428,23
3075,1429,23
3076,1430,23
3077,1431,23
3078,1432,23
3079,1433,23
3080,1434,23
3081,1435,23
3082,1436,23
3083,1437,23
3084,1438,23
3085,1439,23
3086,1440,23
3087,1441,23
