id,name,npc_id,ignore_category_id,ignore_time,skill_id,or_unit_reqs
1,OnClientGreeting,2,2,500.0,,f
2,OnClientGreeting,53,2,500.0,,f
3,OnClientGreeting,54,2,500.0,,f
4,OnClientGreeting,55,2,500.0,,f
5,OnClientGreeting,56,2,500.0,,f
6,OnClientGreeting,57,2,500.0,,f
7,OnClientGreeting,58,2,500.0,,f
8,OnClientGreeting,59,2,500.0,,f
9,OnClientGreeting,60,2,500.0,,f
10,OnClientGreeting,61,2,500.0,,f
11,OnClientGreeting,62,2,500.0,,f
12,OnClientGreeting,63,2,500.0,,f
13,OnClientGreeting,64,2,500.0,,f
14,OnClientGreeting,65,2,500.0,,f
15,OnClientGreeting,66,2,500.0,,f
16,OnClientGreeting,67,2,500.0,,f
17,OnClientGreeting,68,2,500.0,,f
18,OnClientGreeting,69,2,500.0,,f
19,OnClientGreeting,71,2,500.0,,f
20,OnClientGreeting,73,2,500.0,,f
21,OnClientGreeting,74,2,500.0,,f
22,OnClientGreeting,75,2,500.0,,f
23,OnClientGreeting,76,2,500.0,,f
24,OnClientGreeting,78,2,500.0,,f
25,OnClientGreeting,79,2,500.0,,f
26,OnClientGreeting,80,2,500.0,,f
27,OnClientGreeting,81,2,500.0,,f
28,OnClientGreeting,82,2,500.0,,f
29,OnClientGreeting,83,2,500.0,,f
30,OnClientGreeting,84,2,500.0,,f
31,OnClientGreeting,85,2,500.0,,f
32,OnClientGreeting,87,2,500.0,,f
33,OnClientGreeting,89,2,500.0,,f
34,OnClientGreeting,90,2,500.0,,f
35,OnClientGreeting,91,2,500.0,,f
36,OnClientGreeting,92,2,500.0,,f
37,OnClientGreeting,93,2,500.0,,f
38,OnClientGreeting,94,2,500.0,,f
39,OnClientGreeting,95,2,500.0,,f
40,OnClientGreeting,96,2,500.0,,f
41,OnClientGreeting,99,2,500.0,,f
42,OnClientGreeting,100,2,500.0,,f
43,OnClientGreeting,101,2,500.0,,f
44,OnClientGreeting,102,2,500.0,,f
45,OnClientGreeting,103,2,500.0,,f
46,OnClientGreeting,104,2,500.0,,f
47,OnClientGreeting,105,2,500.0,,f
48,OnClientGreeting,106,2,500.0,,f
49,OnClientGreeting,107,2,500.0,,f
50,OnClientGreeting,108,2,500.0,,f
51,OnClientGreeting,109,2,500.0,,f
52,OnClientGreeting,110,2,500.0,,f
53,OnClientGreeting,111,2,500.0,,f
54,OnClientGreeting,112,2,500.0,,f
55,OnClientGreeting,113,2,500.0,,f
56,OnClientGreeting,114,2,500.0,,f
57,OnClientGreeting,115,2,500.0,,f
58,OnClientGreeting,119,2,500.0,,f
59,OnClientGreeting,120,2,500.0,,f
60,OnClientGreeting,122,2,500.0,,f
61,OnClientGreeting,123,2,500.0,,f
62,OnClientGreeting,124,2,500.0,,f
63,OnClientGreeting,126,2,500.0,,f
64,OnClientGreeting,127,2,500.0,,f
65,OnClientGreeting,128,2,500.0,,f
66,OnClientGreeting,129,2,500.0,,f
67,OnClientGreeting,130,2,500.0,,f
68,OnClientGreeting,131,2,500.0,,f
69,OnClientGreeting,132,2,500.0,,f
70,OnClientGreeting,133,2,500.0,,f
71,OnClientGreeting,134,2,500.0,,f
72,OnClientGreeting,135,2,500.0,,f
73,OnClientGreeting,136,2,500.0,,f
74,OnClientGreeting,138,2,500.0,,f
75,OnClientGreeting,140,2,500.0,,f
76,OnClientGreeting,141,2,500.0,,f
77,OnClientGreeting,142,2,500.0,,f
78,OnClientGreeting,163,2,500.0,,f
79,OnClientGreeting,199,2,500.0,,f
80,OnClientGreeting,204,2,500.0,,f
81,OnClientGreeting,205,2,500.0,,f
82,OnClientGreeting,206,2,500.0,,f
83,OnClientGreeting,207,2,500.0,,f
84,OnClientGreeting,208,2,500.0,,f
85,OnClientGreeting,209,2,500.0,,f
86,OnClientGreeting,210,2,500.0,,f
87,OnClientGreeting,212,2,500.0,,f
88,OnClientGreeting,213,2,500.0,,f
89,OnClientGreeting,214,2,500.0,,f
90,OnClientGreeting,216,2,500.0,,f
91,OnClientGreeting,217,2,500.0,,f
92,OnClientGreeting,218,2,500.0,,f
93,OnClientGreeting,219,2,500.0,,f
94,OnClientGreeting,220,2,500.0,,f
95,OnClientGreeting,221,2,500.0,,f
96,OnClientGreeting,222,2,500.0,,f
97,OnClientGreeting,223,2,500.0,,f
98,OnClientGreeting,224,2,500.0,,f
99,OnClientGreeting,225,2,500.0,,f
100,OnClientGreeting,226,2,500.0,,f
101,OnClientGreeting,227,2,500.0,,f
102,OnClientGreeting,229,2,500.0,,f
103,OnClientGreeting,230,2,500.0,,f
104,OnClientGreeting,231,2,500.0,,f
105,OnClientGreeting,232,2,500.0,,f
106,OnClientGreeting,233,2,500.0,,f
107,OnClientGreeting,234,2,500.0,,f
108,OnClientGreeting,235,2,500.0,,f
109,OnClientGreeting,236,2,500.0,,f
110,OnClientGreeting,237,2,500.0,,f
111,OnClientGreeting,238,2,500.0,,f
112,OnClientGreeting,239,2,500.0,,f
113,OnClientGreeting,240,2,500.0,,f
114,OnClientGreeting,241,2,500.0,,f
115,OnClientGreeting,242,2,500.0,,f
116,OnClientGreeting,243,2,500.0,,f
117,OnClientGreeting,244,2,500.0,,f
118,OnClientGreeting,290,2,500.0,,f
119,OnClientGreeting,294,2,500.0,,f
120,OnClientGreeting,295,2,500.0,,f
121,OnClientGreeting,296,2,500.0,,f
122,OnClientGreeting,297,2,500.0,,f
123,OnClientGreeting,298,2,500.0,,f
124,OnClientGreeting,299,2,500.0,,f
125,OnClientGreeting,302,2,500.0,,f
126,OnClientGreeting,303,2,500.0,,f
127,OnClientGreeting,304,2,500.0,,f
128,OnClientGreeting,307,2,500.0,,f
129,OnClientGreeting,311,2,500.0,,f
130,OnClientGreeting,316,2,500.0,,f
131,OnClientGreeting,317,2,500.0,,f
132,OnClientGreeting,322,2,500.0,,f
133,OnClientGreeting,337,2,500.0,,f
134,OnClientGreeting,342,2,500.0,,f
135,OnClientGreeting,353,2,500.0,,f
136,OnClientGreeting,356,2,500.0,,f
137,OnClientGreeting,357,2,500.0,,f
138,OnClientGreeting,400,2,500.0,,f
139,OnClientGreeting,413,2,500.0,,f
140,OnClientGreeting,433,2,500.0,,f
141,OnClientGreeting,434,2,500.0,,f
142,OnClientGreeting,439,2,500.0,,f
143,OnClientGreeting,442,2,500.0,,f
144,OnClientGreeting,446,2,500.0,,f
145,OnClientGreeting,447,2,500.0,,f
146,OnClientGreeting,448,2,500.0,,f
147,OnClientGreeting,458,2,500.0,,f
