id,craft_id,count,use_alias,quest_act_obj_alias_id,highlight_doodad_id
1,2959,1,f,0,0
3,3998,1,f,0,0
4,2641,1,f,0,0
5,3998,1,f,0,0
6,2641,1,f,0,0
7,3999,1,f,0,0
8,3999,1,f,0,0
9,2642,1,f,0,0
10,2642,1,f,0,0
11,4000,1,f,0,0
12,4000,1,f,0,0
13,2643,1,f,0,0
14,2643,1,f,0,0
15,2652,1,f,0,0
16,2652,1,f,0,0
17,2818,1,f,0,0
18,2818,1,f,0,0
19,2653,1,f,0,0
20,2653,1,f,0,0
21,2819,1,f,0,0
22,2819,1,f,0,0
23,2654,1,f,0,0
24,2654,1,f,0,0
25,2820,1,f,0,0
26,2820,1,f,0,0
27,2,1,t,1210,0
28,2641,1,f,1508,0
29,3998,1,f,0,525
30,2621,1,f,0,0
31,4002,1,f,0,525
32,2641,1,f,0,0
33,3998,1,f,0,525
34,2621,1,f,0,0
35,2637,1,f,0,525
36,2652,1,f,0,568
37,2818,1,f,0,568
38,2657,1,f,0,568
39,2652,1,f,0,568
40,2818,1,f,0,568
41,2657,1,f,0,568
42,77,1,f,0,0
43,111,1,f,0,0
44,2674,1,f,0,0
45,2831,1,f,0,0
46,2833,1,f,0,0
47,77,1,f,0,0
48,111,1,f,0,0
49,2674,1,f,0,0
50,2831,1,f,0,0
51,2833,1,f,0,0
52,2633,1,f,0,525
53,2625,1,f,0,525
54,2629,1,f,0,525
55,2633,1,f,0,525
56,2625,1,f,0,525
57,2629,1,f,0,525
58,2652,1,f,0,0
59,2818,1,f,0,0
60,2657,1,f,0,0
61,77,1,f,0,0
62,111,1,f,0,0
63,2674,1,f,0,0
64,2831,1,f,0,0
65,2833,1,f,0,0
66,3998,1,f,0,0
67,2633,1,f,0,0
68,2625,1,f,0,0
69,2629,1,f,0,0
70,2652,1,f,0,0
71,2818,1,f,0,0
72,2657,1,f,0,0
73,77,1,f,0,0
74,111,1,f,0,0
75,2674,1,f,0,0
76,2831,1,f,0,0
77,2833,1,f,0,0
78,3998,1,f,0,0
79,2633,1,f,0,0
80,2625,1,f,0,0
81,2629,1,f,0,0
82,2653,1,f,0,568
83,2658,1,f,0,568
84,2819,1,f,0,568
85,2622,1,f,0,525
86,2626,1,f,0,525
87,2630,1,f,0,525
88,2634,1,f,0,525
89,3999,1,f,0,525
90,2642,1,f,0,525
91,2638,1,f,0,525
92,4003,1,f,0,525
95,2820,1,f,0,0
96,2623,1,f,0,0
97,2627,1,f,0,0
98,2631,1,f,0,0
99,2635,1,f,0,0
100,4000,1,f,0,0
101,2643,1,f,0,0
102,2639,1,f,0,0
103,4004,1,f,0,0
104,2653,1,f,0,0
105,2658,1,f,0,0
106,2819,1,f,0,0
107,2622,1,f,0,0
108,2626,1,f,0,0
109,2630,1,f,0,0
110,2634,1,f,0,0
111,3999,1,f,0,0
112,2642,1,f,0,0
113,2638,1,f,0,0
114,4003,1,f,0,0
115,2654,1,f,0,0
116,2659,1,f,0,0
117,2820,1,f,0,0
118,2623,1,f,0,0
119,2627,1,f,0,0
120,2631,1,f,0,0
121,2635,1,f,0,0
122,4000,1,f,0,0
123,2643,1,f,0,0
124,2639,1,f,0,0
125,4004,1,f,0,0
126,2641,1,t,1791,525
127,2652,1,f,0,568
128,2657,1,f,0,568
129,3998,1,f,0,525
130,2674,1,f,0,0
131,2831,1,f,0,0
132,2832,1,t,1889,561
133,122,1,f,0,560
134,49,1,f,0,557
135,83,5,f,0,558
137,115,1,f,0,559
138,2653,1,f,0,568
