id,name,filename
1,연습,abillity_skill_table_m.magic.lightning_magic_hit
2,연습2,abillity_skill_table_m.magic.fireball_hit
3,제작보름돌_한손마법1단계,X2_EFFECT_O.Interaction.enchant_wpn_magic1h_1g
4,제작보름돌_한손마법2단계,X2_EFFECT_O.Interaction.enchant_wpn_magic1h_2g
5,제작보름돌_양손마법1단계,X2_EFFECT_O.Interaction.enchant_wpn_magic2h_1g
6,제작보름돌_양손마법2단계,X2_EFFECT_O.Interaction.enchant_wpn_magic2h_2g
7,제작보름돌_한손근거리1단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_1g
8,제작보름돌_한손근거리2단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_2g
9,제작보름돌_양손근거리1단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_1g
10,제작보름돌_양손근거리2단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_2g
11,제작보름돌_원거리1단계,X2_EFFECT_O.Interaction.enchant_wpn_range_1g
12,제작보름돌_원거리2단계,X2_EFFECT_O.Interaction.enchant_wpn_range_2g
13,명예보름돌_한손공용1단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_honor_1g
14,명예보름돌_한손공용2단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_honor_2g
15,명예보름돌_양손공용1단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_honor_1g
16,	명예보름돌_양손공용2단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_honor_2g
17,명예보름돌_원거리1단계,X2_EFFECT_O.Interaction.enchant_wpn_range_honor_1g
18,명예보름돌_원거리2단계,X2_EFFECT_O.Interaction.enchant_wpn_range_honor_2g
19,명예보름돌_한손공용3단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_honor_3g
20,명예보름돌_양손공용3단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_honor_3g
21,명예보름돌_원거리3단계,X2_EFFECT_O.Interaction.enchant_wpn_range_honor_3g
22,제작보름돌_한손마법3단계,X2_EFFECT_O.Interaction.enchant_wpn_magic1h_3g
23,제작보름돌_양손마법3단계,X2_EFFECT_O.Interaction.enchant_wpn_magic2h_3g
24,제작보름돌_한손근거리3단계,X2_EFFECT_O.Interaction.enchant_wpn_melee1h_3g
25,제작보름돌_양손근거리3단계,X2_EFFECT_O.Interaction.enchant_wpn_melee2h_3g
26,제작보름돌_원거리3단계,X2_EFFECT_O.Interaction.enchant_wpn_range_3g
