id,filename,name
1,unknown_item.dds,
2,item_pick_cursor.dds,
55,book_tirrenos.dds,
56,weapons3-022.dds,
57,p8.dds,
100,siegeweapon_fire.dds,
101,siegeweapon_trebuchet01.dds,
102,r1.dds,
103,r2.dds,
104,r3.dds,
105,r4.dds,
106,r5.dds,
107,r6.dds,
108,r7.dds,
109,r8.dds,
110,r9.dds,
112,books_carfentry_1primary.dds,
113,books_cook_1primary.dds,
115,items_barrel_cover.dds,
116,items_barrel_empty.dds,
117,items_barrel_wine.dds,
118,items_bottle_empty.dds,
119,items_bottle_wine.dds,
120,items_grape.dds,
121,items_wood_log.dds,
122,items_wood_square.dds,
123,recipes_carpentry.dds,
124,recipes_cook.dds,
125,tools_ax0001.dds,
126,tools_bucket0001.dds,
127,items_ingot_iron.dds,
131,product_mushroom.dds,
132,product_olive.dds,
133,product_mint.dds,
134,product_ginseng.dds,
135,product_apple.dds,
136,product_banana.dds,
137,product_grape.dds,
138,product_orange.dds,
139,product_mango.dds,
140,product_tomato.dds,
141,product_potato.dds,
142,product_sweet.dds,
143,product_carrot.dds,
144,product_wheat.dds,
145,product_barley.dds,
146,product_rice.dds,
147,product_corn.dds,
148,product_beef.dds,
149,product_milk.dds,
150,product_lamb.dds,
151,product_pork.dds,
152,product_chic.dds,
153,product_egg.dds,
154,product_honey.dds,
155,product_lob.dds,
156,product_salmon.dds,
157,product_bass.dds,
158,product_shell.dds,
159,product_mackerel.dds,
160,tool_oven.dds,
161,tool_burner.dds,
162,tool_pan.dds,
163,tool_knife.dds,
164,tool_pot.dds,
165,tool_fry.dds,
166,tool_mortar.dds,
167,tool_barrel.dds,
168,cook_flavor.dds,
169,cook_barley.dds,
170,cook_corn_powder.dds,
171,cook_bread.dds,
172,cook_bread_sweet.dds,
173,cook_bread_apple.dds,
174,cook_bread_barley.dds,
175,cook_bread_cream.dds,
176,cook_boil_potato.dds,
177,cook_boil_sweet.dds,
178,cook_boil_egg.dds,
179,cook_fry_potato.dds,
180,cook_fry_sweet.dds,
181,cook_fry_sweet_honey.dds,
182,cook_rice.dds,
183,cook_noodle.dds,
184,cook_cheese.dds,
185,cook_cream.dds,
186,cook_burn_pork.dds,
187,cook_meatloaf.dds,
188,cook_meatloaf_sweet.dds,
189,cook_bacon.dds,
190,cook_bacon_wine.dds,
191,cook_pork_stew.dds,
192,cook_bun.dds,
193,cook_fry_pork.dds,
194,cook_fry_pork_honey.dds,
195,cook_burn_beef.dds,
196,cook_meatloaf_beef.dds,
197,cook_meatloaf_beef_orange.dds,
198,cook_roast_beef.dds,
199,cook_roast_beef_mushroom.dds,
200,cook_roast_beef_carrot.dds,
201,cook_beef_stew.dds,
202,cook_beef_stew_apple.dds,
203,cook_beef_stew_rib.dds,
204,cook_fry_beef.dds,
205,cook_fry_beef_honey.dds,
206,cook_burn_lamb.dds,
207,cook_lamb_skew.dds,
208,cook_roast_lamb.dds,
210,cook_burn_chic.dds,
211,cook_roast_chic.dds,
212,cook_roast_chic_mushroom.dds,
213,cook_boil_chic.dds,
214,cook_boil_chic_ginseng.dds,
215,cook_chic_stew.dds,
216,cook_chic_stew_cream.dds,
217,cook_chic_stew_ginseng.dds,
218,cook_fry_chic.dds,
219,cook_pilaf.dds,
220,cook_pilaf_beef.dds,
221,cook_pilaf_chic.dds,
222,cook_pilaf_lamb.dds,
223,cook_pilaf_salmon.dds,
224,cook_pilaf_seafood.dds,
225,cook_gruel.dds,
226,cook_gruel_beef.dds,
227,cook_gruel_chic.dds,
228,cook_gruel_carrot.dds,
229,cook_gruel_lob.dds,
230,cook_gratin.dds,
231,cook_gratin_beef.dds,
232,cook_gratin_chic.dds,
233,cook_gratin_sweet.dds,
234,cook_gratin_seafood.dds,
235,cook_gratin_lob.dds,
236,cook_raw_salmon.dds,
237,cook_burn_salmon.dds,
238,cook_burn_salmon_herb.dds,
239,cook_raw_bass.dds,
240,cook_burn_bass.dds,
241,cook_burn_bass_herb.dds,
242,cook_boil_bass.dds,
243,cook_raw_mackerel.dds,
