id,doodad_id
1,265
3,316
7,703
8,709
12,711
14,4332
17,938
20,1077
22,1137
39,1712
43,1730
44,1747
45,1875
50,2052
51,2364
56,1447
57,1446
62,2519
63,2638
66,2802
67,2804
68,2854
78,3000
79,2925
81,3028
82,1419
84,1431
85,1540
86,3346
87,3371
88,3436
90,3469
91,3472
92,3522
93,3560
96,3567
97,3572
98,3494
100,5429
101,3844
102,3883
104,4030
105,272
106,4069
107,4302
109,4129
110,4135
111,4168
113,4255
115,4345
116,4346
117,4349
120,4347
121,4348
122,4351
123,4350
126,4363
129,4421
130,4352
132,4368
135,4591
137,3088
138,4617
139,4301
142,5032
143,5047
144,5048
145,5101
146,5102
147,5123
148,5253
149,5272
151,5276
152,5281
153,5310
154,5315
155,5317
156,5319
159,1086
161,4617
162,5375
163,5378
164,5379
167,5390
169,5400
170,5402
171,5404
172,5405
173,5415
174,5416
175,5417
176,5418
178,5419
179,5393
180,5505
181,5509
182,5510
183,5511
184,5524
185,5523
186,5522
187,5521
188,5520
189,5533
190,5536
191,5538
192,5571
193,5586
194,5696
195,5697
196,5392
197,5698
198,5699
199,5709
200,5801
201,5802
202,5803
203,5805
204,5813
205,5814
206,5816
207,5817
208,5819
210,5832
211,5833
212,5848
213,5858
215,3016
216,5882
217,5881
218,5894
219,5895
220,5896
221,5897
222,5898
223,4361
224,5968
225,6182
227,6183
228,6184
231,6208
232,6211
233,6212
234,6214
235,6215
236,6216
237,6217
238,6218
239,6264
240,6266
241,6413
243,6812
247,7023
248,7024
249,7025
250,7026
251,7027
252,7028
253,7029
254,7030
255,7031
256,7046
260,7139
261,7110
262,7192
263,7208
264,7209
265,7210
266,7211
267,7212
268,7213
269,7227
270,7261
271,7261
272,7261
273,7276
274,7275
275,7274
276,7273
277,7272
278,7271
279,7270
280,7261
281,7261
282,7261
283,7281
284,7281
285,7281
286,7281
287,7281
288,7281
289,7282
290,7282
291,7282
292,7282
293,7282
294,7282
295,7283
296,7283
297,7283
298,7283
299,7283
300,7283
301,7301
