id,exp
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
29,0
30,0
31,1000
34,0
46,2009
47,1000
50,4675000
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,500
60,500
61,0
62,0
63,0
65,350000
66,1450000
67,2640400
68,2288000
69,0
71,0
72,0
73,0
74,0
75,0
76,110
117,1000
118,1000
119,1000
120,1000
121,1000
122,1000
123,1000
124,1000
125,1000
126,1000
128,1000
129,1000
130,1000
131,1000
132,1000
156,1000
157,1000
158,1000
159,1000
160,1000
162,1000
163,1000
164,1000
165,1000
166,1000
167,1000
168,1000
169,1000
170,1000
171,1000
172,1000
173,1000
174,1000
175,1000
176,1000
177,1000
179,1000
180,1000
181,1000
182,1000
183,1000
185,1000
186,1000
187,1000
188,1000
189,1000
190,1000
191,1000
192,1000
193,1000
194,1000
195,1000
196,1000
197,1000
198,1000
199,1000
201,1000
202,1000
203,1000
204,1000
205,1000
206,1000
207,1000
208,1000
209,1000
210,1000
211,1000
212,1000
213,1000
214,1000
215,1000
216,1000
217,1000
218,1000
219,1000
220,1000
221,110
222,1000
223,1000
224,1000
226,1000
227,1000
228,1000
229,1000
230,1000
231,1000
232,1000
234,1000
235,1000
236,1000
237,1000
238,1000
239,1000
241,1000
242,1000
243,1000
244,1000
245,1000
246,1000
248,1000
249,1000
250,1000
251,1000
252,1000
253,1000
254,1000
255,1000
256,1000
257,1000
258,25000000
259,1000
260,1000
261,1000
263,1000
264,1000
265,1000
266,1000
267,1000
268,1000
269,1000
270,1000
271,1000
272,1000
273,1000
274,1000
275,1000
276,1000
277,1000
278,1000
279,1000
280,1000
281,1000
282,1000
283,1000
284,1000
285,1000
286,1000
287,1000
288,1000
290,1000
291,1000
292,1000
293,1000
294,1000
296,1000
297,1000
298,1000
299,1000
300,1000
301,1000
302,1000
304,1000
305,1000
306,1000
307,1000
308,1000
309,1000
310,1000
311,1000
312,1000
313,1000
314,1000
315,1000
316,1000
317,1000
318,1000
320,1000
321,1000
322,1000
323,1000
324,1000
326,1000
327,1000
328,1000
329,1000
330,1000
331,1000
332,1000
333,1000
334,1000
335,1000
336,1000
337,1000
338,1000
339,1000
340,1000
341,0
342,1000
343,1000
344,2000
345,1000
346,1000
347,1000
349,1000
350,1000
351,1000
352,1000
353,1000
354,1000
355,1000
356,1000
357,1000
358,1000
359,1000
360,1000
361,1000
362,1000
363,1000
364,1000
365,1000
366,1000
367,1000
368,4780
369,4780
370,4780
371,4780
372,4780
373,6440
374,5600
375,7120
376,7170
377,7170
378,7170
379,7170
380,7170
381,8400
382,9660
383,10680
384,0
385,0
386,0
387,0
394,500
395,500
396,500
403,500
404,500
405,500
406,1000
407,1000
408,1000
409,1000
410,1000
411,1000
412,1000
413,1000
414,1000
415,1000
416,1000
417,1000
418,1000
419,1000
420,1000
421,1000
422,1000
423,1000
424,1000
425,1000
426,1000
427,1000
428,1000
429,1000
430,1000
431,1000
432,1000
433,1000
434,1000
435,1000
436,1000
437,1000
438,1000
440,1000
441,1000
442,1000
443,1000
444,1000
445,1000
446,1000
447,1000
448,1000
449,1000
450,1000
451,1000
452,1000
453,1000
454,1000
455,1000
456,1000
457,1000
458,1000
459,1000
460,1000
461,1000
462,1000
463,1000
464,1000
465,1000
466,1000
467,1000
468,1000
469,1000
470,1000
471,1000
472,1000
473,1000
474,1000
475,1000
476,1000
477,1000
478,1000
479,1000
480,1000
481,1000
482,1000
483,1000
484,1000
485,1000
486,1000
487,1000
488,1000
489,1000
490,7840
491,11760
493,0
494,1000
495,1000
496,1000
497,1000
498,1000
499,1000
500,1000
501,1000
502,1000
503,1000
504,1000
505,1000
506,1000
507,1000
508,1000
509,1000
510,1000
511,1000
512,1000
513,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1000
592,1000
593,1000
594,1000
596,1000
597,1000
599,1000
600,2500
601,0
602,1000
603,1000
604,1000
605,1000
606,1000
607,1000
608,1000
609,0
610,0
611,1000
612,1000
613,1000
614,1000
615,1000
616,1000
617,1000
618,1000
619,1000
620,1000
621,1000
622,1000
623,1000
624,1000
625,1000
626,1000
627,1000
628,1000
629,1000
630,1000
631,1000
632,1000
633,1000
634,1000
635,1000
636,1000
637,1000
638,1000
639,1000
640,1000
642,1000
643,1000
644,1000
645,1000
646,1000
647,1000
648,1000
649,1000
650,1000
651,1000
652,1000
653,1000
654,1000
655,1000
656,1000
657,1000
658,1000
659,1000
660,1000
661,1000
662,1000
663,1000
664,1000
665,1000
666,1000
667,1000
668,1000
669,1000
670,1000
671,1000
672,1000
673,0
674,0
675,1000
676,1000
677,1000
678,1000
679,1000
680,1000
681,1000
682,1000
683,0
684,0
685,1000
686,0
687,0
688,0
689,0
691,1000
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1000
701,1000
702,1000
703,1000
704,1000
705,1000
706,1000
707,1000
708,1000
709,1000
710,0
711,0
712,0
713,1000
715,1000
716,1000
717,1000
718,1000
719,1000
720,1000
721,1000
722,1000
723,1000
724,1000
725,1000
726,1000
727,1000
728,1000
729,1000
730,1000
731,1000
732,1000
733,1000
734,7480
735,11220
736,1000
737,1000
738,1000
739,1000
740,1000
741,1000
742,1000
743,1000
744,1000
745,1000
746,1000
747,1000
748,1000
749,1000
750,1000
751,1000
752,1000
753,1000
754,1000
755,1000
756,0
757,0
758,2000
759,1000
760,1000
761,1000
762,1000
763,1000
764,1000
765,1000
766,1000
767,1000
768,1000
769,1000
770,1000
771,1000
772,1000
773,1000
774,1000
775,100000
776,10000
777,1500
778,1000
779,0
780,1000
781,1000
782,0
783,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1000
795,1000
796,1004
797,1004
799,0
800,1000
801,1000
802,1000
804,1004
805,1004
806,1004
8000001,0
8000002,0
8000003,0
8000005,0
8000006,0
8000007,0
8000008,0
8000009,0
8000010,0
8000011,0
8000012,0
8000013,0
8000014,0
8000015,0
8000016,0
8000017,0
8000018,0
8000019,0
8000020,0
8000021,0
8000022,0
8000023,0
