id,skill_id,item_id,amount
1,13076,15620,1
11,13308,15813,1
29,13449,15890,1
36,13522,15959,1
40,12193,14318,1
49,13673,16051,1
50,13691,16053,1
51,13707,15890,1
53,13709,16037,1
54,13720,16156,1
55,13300,15781,3
60,13797,16173,1
61,13873,16250,1
74,13515,15954,1
78,14208,5031,1
79,13316,15812,1
81,14519,17675,1
87,14545,17702,1
116,14711,17828,1
120,11507,5190,1
122,14636,4856,1
152,13088,16350,1
153,13089,16351,1
154,13090,16352,1
155,13082,16353,1
156,13083,16354,1
157,13084,16355,1
158,13085,16356,1
159,13086,16357,1
160,13087,16358,1
182,15196,6361,1
183,15196,6388,1
184,15196,6523,1
185,15196,6442,1
186,15196,6415,1
187,15196,6496,1
188,15196,6469,1
189,15196,6091,1
190,15196,16464,1
191,15196,16434,1
192,15196,16450,1
193,15197,6979,1
194,15197,6844,1
195,15197,6925,1
196,15197,7006,1
197,15197,6898,1
198,15197,6952,1
199,15197,6871,1
200,15197,16448,1
201,15197,5364,1
202,15197,5361,1
203,15198,7462,1
204,15198,7381,1
205,15198,7435,1
206,15198,7408,1
207,15198,7489,1
208,15198,7327,1
209,15198,7354,1
210,15198,5613,1
211,15198,16460,1
212,15198,5534,1
213,15198,16446,1
219,15242,18663,1
220,15243,18661,1
221,15243,18662,1
222,14758,17828,1
223,14759,17828,1
225,13655,16034,1
227,15482,19079,1
232,15280,17349,1
236,11235,16274,1
237,11242,16389,1
238,15328,18742,1
240,15773,19661,1
246,16150,19835,1
247,16264,19857,1
250,16431,19974,1
253,16355,19877,3
255,16378,19879,1
257,15897,19856,1
316,16079,19517,1
317,16079,15871,1
318,16079,1739,1
320,16079,1695,1
321,16079,2966,1
322,16079,2974,1
323,16079,2982,1
416,16849,6266,1
417,16849,6267,1
418,16849,6268,1
419,16849,6269,1
420,16849,6270,1
421,16849,6271,1
422,16849,6272,1
424,16850,6757,1
425,16850,6760,1
426,16850,6763,1
427,16850,6766,1
428,16850,6769,1
429,16850,6772,1
430,16850,6775,1
431,16851,7240,1
432,16851,7243,1
433,16851,7246,1
434,16851,7249,1
435,16851,7252,1
436,16851,7258,1
437,16851,7255,1
438,16849,8519,100
439,16849,8518,100
440,16849,6080,1
441,16849,6105,1
442,16849,6155,1
443,16849,6180,1
444,16849,6205,1
445,16849,6230,1
446,16849,6130,1
447,16849,7704,1
448,16849,7720,2
449,16849,17654,1
450,16849,18810,2
451,16850,8519,100
452,16850,8518,100
453,16850,5321,2
454,16850,6130,1
455,16850,6180,1
456,16850,6205,1
457,16850,6230,1
458,16850,7703,1
459,16850,7719,2
460,16850,17654,1
461,16850,18809,2
463,16851,5732,1
464,16851,5939,1
465,16851,6155,1
466,16851,6130,1
467,16851,6180,1
468,16851,6205,1
469,16851,6230,1
470,16851,7703,1
471,16851,7720,2
472,16851,17654,1
473,16851,18810,2
474,16851,8518,100
475,16851,8519,100
477,16959,21206,1
478,16960,21207,1
479,16961,21208,1
480,16962,21209,1
481,16963,21210,1
482,16964,16052,1
483,16985,21258,1
484,17012,21290,1
485,17013,21295,1
486,17013,21294,1
487,17016,21292,1
488,17022,21297,1
491,17080,21347,1
501,16830,21881,1
502,16830,22175,1
503,16830,22203,1
504,16830,22133,1
505,16830,20925,1
506,16830,20952,1
507,16830,20979,1
508,16830,21006,1
509,16830,21033,1
510,16830,21060,1
511,16830,21087,1
512,16830,2995,1
513,16830,3005,2
514,16830,3001,2
515,16832,21909,1
516,16832,21923,2
517,16832,22133,1
518,16832,22175,1
519,16832,20736,1
520,16832,20763,1
521,16832,20790,1
522,16832,20817,1
523,16832,20844,1
524,16832,20871,1
525,16832,20898,1
526,16832,2993,1
527,16832,7701,2
528,16832,3000,2
529,16831,22105,1
530,16831,22091,1
531,16831,22203,1
532,16831,22133,1
533,16831,22175,1
534,16831,20547,1
535,16831,20574,1
536,16831,20601,1
537,16831,20628,1
538,16831,20655,1
539,16831,20682,1
540,16831,20709,1
541,16831,2991,1
542,16831,7714,2
543,16831,2999,2
544,17218,21561,1
545,16831,8521,100
546,16831,8522,100
547,16832,8521,100
548,16832,8522,100
549,16830,8522,100
550,16830,8521,100
551,17312,21605,1
558,17648,23690,1
560,15269,17409,1
561,17851,7998,1
562,17965,17705,1
563,17967,23724,1
564,12876,8481,1
565,12878,8484,1
566,12880,8482,1
567,12879,8483,1
568,19089,24912,1
569,19090,24913,1
570,19091,24914,1
572,19560,25752,1
573,19619,16347,1
574,19620,16348,1
575,19621,16349,1
576,17566,17255,3
577,20032,26040,1
581,20141,18983,1
587,20452,26546,1
