id,sound_id,sound_pack_id,in_water,scale
1,0,0,f,1.0
2,0,0,f,1.0
4,0,0,f,1.0
5,0,0,f,1.0
6,0,0,f,1.0
7,0,0,f,1.0
8,0,0,f,1.0
9,0,0,f,1.0
10,0,0,f,1.0
11,0,0,f,1.0
12,0,0,f,1.0
13,0,0,f,1.0
14,0,0,f,1.0
15,0,0,f,1.0
16,0,0,f,1.0
19,0,0,f,1.0
20,517,0,f,1.0
21,526,,f,1.0
22,0,0,f,1.0
23,1778,,f,1.0
24,1751,,f,1.0
25,0,0,f,1.0
26,489,,f,1.0
27,0,0,f,1.0
28,0,0,f,1.0
29,1233,,f,1.0
31,0,0,f,1.0
32,0,0,f,1.0
33,1796,,f,1.0
34,0,0,f,1.0
35,0,0,f,1.0
36,0,0,f,1.0
37,0,0,f,1.0
38,926,0,f,1.0
39,1785,,f,1.0
40,1996,,f,1.0
41,1997,,f,1.0
42,0,0,f,1.0
43,0,0,f,1.0
44,0,0,f,1.0
45,0,0,f,1.0
46,0,0,f,1.0
47,0,0,f,1.0
48,0,0,f,1.0
49,0,0,f,1.0
50,0,0,f,1.0
51,0,0,f,1.0
52,0,0,f,1.0
53,0,0,f,1.0
54,,,f,1.0
55,0,0,f,1.0
56,0,0,f,1.0
57,0,0,f,1.0
58,,,f,1.0
59,0,0,f,1.0
60,0,0,f,1.0
61,0,0,f,1.0
62,0,0,f,1.0
63,0,0,f,1.0
64,0,0,f,1.0
65,1951,,f,1.0
66,,,f,1.0
67,0,0,f,1.0
68,0,0,f,1.0
69,1784,,f,1.0
70,1787,,f,1.0
71,0,0,f,1.0
72,0,0,f,1.0
73,0,0,f,1.0
74,0,0,f,1.0
75,0,0,f,1.0
76,2084,,f,1.0
77,0,0,f,1.0
78,0,0,f,1.0
79,,,f,1.0
80,,,f,1.0
81,,,f,1.0
82,0,0,f,1.0
83,0,0,f,1.0
84,0,0,f,1.0
85,0,0,f,1.0
86,1,,f,1.0
87,0,0,f,1.0
88,1793,,f,1.0
89,0,0,f,1.0
90,1998,,f,1.0
91,0,0,f,1.0
92,0,0,f,1.0
93,490,0,f,1.0
94,966,0,f,1.0
95,965,0,f,1.0
96,0,0,f,1.0
97,0,0,f,1.0
98,0,0,f,1.0
99,0,0,f,1.0
100,0,0,f,1.0
101,0,0,f,1.0
102,0,0,f,1.0
103,2463,,f,1.0
104,0,0,f,1.0
105,0,0,f,1.0
106,1237,,f,1.0
107,0,0,f,1.0
108,0,0,f,1.0
109,0,0,f,1.0
110,0,0,f,1.0
111,0,0,f,1.0
112,0,0,f,1.0
113,0,0,f,1.0
114,0,0,f,1.0
115,0,0,f,1.0
116,0,0,f,1.0
117,0,0,f,1.0
118,0,0,f,1.0
119,0,0,f,1.0
120,0,0,f,1.0
121,0,0,f,1.0
122,0,0,f,1.0
123,0,0,f,1.0
