name,seq
icons,8000006
equip_pack_cloths,8000000
equip_pack_weapons,8000000
unit_reqs,8000068
unit_modifiers,8000155
fx_particles,8000000
fx_groups,8000000
projectiles,8000000
fx_chrs,8000000
tags,8000000
effects,8000016
fx_cgfs,8000000
quest_categories,8000000
buff_tick_effects,8000000
buff_triggers,8000000
combat_buffs,8000000
train_craft_effects,8000000
accept_quest_effects,8000000
train_craft_rank_effects,8000000
np_skills,8000000
transfers,8000000
equip_pack_body_parts,8000000
manual_funcs,8000000
dynamic_unit_modifiers,8000000
linear_funcs,8000000
item_tools,8000000
skill_reagents,8000001
conversion_effects,8000000
npc_nicknames,8000000
default_skills,8000000
buff_effects,8000004
special_effects,8000067
priest_buffs,8000000
aggro_links,8000000
npc_aggro_links,8000000
physical_enchant_abilities,8000000
character_supplies,8000003
interaction_effects,8000000
craft_effects,8000001
model_attach_point_strings,8000000
slave_bindings,8000000
model_bindings,8000000
item_summon_mates,8000000
item_summon_slaves,8000000
item_accept_quests,8000021
doodad_func_groups,8000000
doodad_phase_funcs,8000000
doodad_func_clout_effects,8000000
doodad_func_timers,8000000
doodad_func_climbs,8000000
doodad_funcs,8000004
doodad_func_harvests,8000000
doodad_func_loot_items,8000000
doodad_func_growths,8000000
doodad_func_cutdowns,8000000
doodad_func_cutdownings,8000000
doodad_func_craft_starts,8000000
doodad_func_craft_start_crafts,8000000
doodad_func_craft_acts,8000000
doodad_func_craft_cancels,8000000
doodad_func_craft_get_items,8000000
item_spawn_doodads,8000000
doodad_func_finals,8000000
doodad_func_require_items,8000000
doodad_func_require_quests,8000000
doodad_func_hungers,8000000
doodad_func_butchers,8000000
doodad_func_feeds,8000000
doodad_func_shears,8000000
doodad_func_quests,8000000
doodad_func_mows,8000000
doodad_func_craft_infos,8000000
mount_skills,8000000
mount_attached_skills,8000000
quest_names,8000000
quest_context_texts,8000021
quest_component_texts,8000022
quest_act_con_accept_npcs,8000000
quest_acts,8000112
quest_act_supply_items,8000000
quest_act_con_report_npcs,8000000
skill_modifiers,8000003
buff_unit_modifiers,8000000
quest_act_con_auto_completes,8000001
quest_act_con_accept_components,8000000
quest_act_check_complete_components,8000000
quest_act_check_distances,8000000
quest_act_con_accept_doodads,8000000
quest_act_con_report_doodads,8000000
sphere_quests,8000000
spheres,8000000
housing_build_steps,8000000
quest_monster_groups,8000000
quest_monster_npcs,8000000
