id,model_id,path,detail,attachment_offset_pos_x,attachment_offset_pos_y,attachment_offset_pos_z,attachment_offset_rot_x,attachment_offset_rot_y,attachment_offset_rot_z,heel_offset_height,hinge_idx,hinge_limit,hinge_damping,allow_mirror,default_anim
12,0,objects/item/weapon/sword_1h/shadow_hawk/sword_1h.cgf,40963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
22,659,objects/Characters/people/npc_blacksmith02/cloth02/npc_blacksmith02.chr,25600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
37,23,objects/characters/returned/female/cloth/phila/re_f_ar_phila.chr,19968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
38,23,objects/characters/returned/female/cloth/phila/re_f_bl_phila.chr,20480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
39,23,objects/characters/returned/female/cloth/phila/re_f_pt_phila.chr,18464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
40,23,objects/characters/returned/female/cloth/phila/re_f_gv_phila.chr,16512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
41,23,objects/characters/returned/female/cloth/phila/re_f_bo_phila.chr,16400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
42,23,objects/characters/returned/female/cloth/phila/re_f_eb_phila.chr,16384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
43,15,objects/characters/dwarf/female/cloth/resurrection/dw_f_hm_resurrection.chr,24576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
44,15,objects/characters/dwarf/female/cloth/resurrection/dw_f_ar_resurrection.chr,19712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
45,15,objects/characters/dwarf/female/cloth/resurrection/dw_f_gv_resurrection.chr,16768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,f,
