id,name,description
2,수습공의 바다 천 방어구,
3,기능공의 바다 천 방어구,
4,숙련공의 바다 천 방어구,
5,전문가의 바다 천 방어구,
6,장인의 바다 천 방어구,
7,명인의 바다 천 방어구,
8,명인의 호수 천 방어구,
9,명인의 초원 천 방어구,
10,명인의 바위 천 방어구,
11,대가의 바다 천 방어구,
12,대가의 호수 천 방어구,
13,대가의 초원 천 방어구,
14,대가의 바위 천 방어구,
15,에페리움의 바다 천 방어구,
16,에페리움의 호수 천 방어구,
17,에페리움의 대지 천 방어구,
18,에페리움의 초원 천 방어구,
19,에페리움의 물결 천 방어구,
20,에페리움의 바위 천 방어구,
21,에페리움의 생명 천 방어구,
22,델피나드의 바다 천 방어구,
23,델피나드의 호수 천 방어구,
24,델피나드의 대지 천 방어구,
25,델피나드의 초원 천 방어구,
26,델피나드의 물결 천 방어구,
27,델피나드의 바위 천 방어구,
30,델피나드의 생명 천 방어구,
31,수습공의 태풍 가죽 방어구,
32,기능공의 태풍 가죽 방어구,
33,숙련공의 태풍 가죽 방어구,
34,전문가의 태풍 가죽 방어구,
35,장인의 태풍 가죽 방어구,
36,명인의 태풍 가죽 방어구,
37,명인의 번개 가죽 방어구,
38,명인의 돌풍 가죽 방어구,
39,명인의 사막 가죽 방어구,
40,대가의 태풍 가죽 방어구,
41,대가의 번개 가죽 방어구,
42,대가의 돌풍 가죽 방어구,
43,대가의 사막 가죽 방어구,
44,에페리움의 태풍 가죽 방어구,
45,에페리움의 번개 가죽 방어구,
46,에페리움의 불꽃 가죽 방어구,
47,에페리움의 돌풍 가죽 방어구,
48,에페리움의 바람 가죽 방어구,
49,에페리움의 사막 가죽 방어구,
50,에페리움의 대지 가죽 방어구,
51,델피나드의 태풍 가죽 방어구,
52,델피나드의 번개 가죽 방어구,
53,델피나드의 불꽃 가죽 방어구,
54,델피나드의 돌풍 가죽 방어구,
55,델피나드의 바람 가죽 방어구,
56,델피나드의 사막 가죽 방어구,
57,델피나드의 대지 가죽 방어구,
58,수습공의 지진 판금 방어구,
59,기능공의 지진 판금 방어구,
60,숙련공의 지진 판금 방어구,
61,전문가의 지진 판금 방어구,
62,장인의 지진 판금 방어구,
63,명인의 지진 판금 방어구,
64,명인의 사막 판금 방어구,
65,명인의 호수 판금 방어구,
66,명인의 노을 판금 방어구,
67,대가의 지진 판금 방어구,
68,대가의 사막 판금 방어구,
69,대가의 호수 판금 방어구,
70,대가의 노을 판금 방어구,
71,에페리움의 지진 판금 방어구,
72,에페리움의 사막 판금 방어구,
73,에페리움의 불꽃 판금 방어구,
74,에페리움의 호수 판금 방어구,
75,에페리움의 대지 판금 방어구,
76,에페리움의 노을 판금 방어구,
77,에페리움의 물결 판금 방어구,
78,델피나드의 지진 판금 방어구,
79,델피나드의 사막 판금 방어구,
80,델피나드의 불꽃 판금 방어구,
81,델피나드의 호수 판금 방어구,
82,델피나드의 대지 판금 방어구,
96,델피나드의 노을 판금 방어구,
97,델피나드의 물결 판금 방어구,
98,수습 연금술사 옷,
99,수습 요리사 옷,
100,수습 공예가 옷,
101,초보 사육사 옷,
102,초보 농부 옷,
103,초보 나무꾼 옷,
104,초보 채집가 옷,
105,수습 대장장이 옷,
106,초보 광부 옷,
107,수습 재봉사 옷,
108,수습 무두장이 옷,
109,수습 무기 제작자 옷,
110,수습 목수 옷,
111,타락한 파괴신의 증오,
112,강인한 수문장의 결의,
113,무모한 돌격대장의 패기,
114,불꽃 가르기,
115,단죄하는 신도의 손재주,
116,정화된 수도사의 마음가짐,
117,인내하는 고통의 수도사,
118,개구쟁이 불정령,
119,고요한 바람의 가호,
120,기민한 강도의 손재주,
121,교활한 도적의 마음가짐,
122,포악한 불한당의 인내심,
123,바람돌이의 소원,
124,집행자의 잔혹함,
125,잔인한 인간 사냥꾼,
126,교활한 약탈자의 광기,
127,흉포한 백정의 허세,
128,잔인한 인간 사냥꾼,
129,교활한 약탈자의 광기,
130,흉포한 백정의 허세,
131,찬란했던 해변의 추억,
132,푸른 피의 혈통,
133,은밀한 어둠 포복자,
134,비정한 혈액 수집가,
135,난폭한 육체 수탈자,
136,은밀한 어둠 포복자,
137,비정한 혈액 수집가,
138,난폭한 육체 수탈자,
139,푸른 피의 흡혈귀,
140,사악한 고대의 의지,
141,이단심문관의 고문,
142,박해 받은 순교자의 복수,
143,저주 받은 교단기사의 분노,
144,이단심문관의 고문,
145,박해 받은 순교자의 복수,
146,저주 받은 교단기사의 분노,
147,고대 뱀의 기억,
148,파괴신의 위엄,
149,미쳐버린 은둔자의 광기,
150,추방당한 마법사의 힘,
151,잔혹한 학살자의 증오,
158,끝없는 파괴의 미학,
159,잔혹한 악몽,
160,봉인된 순교자의 복수,
161,고위심문관의 고문,
162,타락한 교단기사의 분노,
163,구렁텅이 인도자,
164,잊혀진 해적의 열정,
165,낚시왕이 되고픈 벅시루루,
166,잊혀진 선원의 의지,
167,그림자 노래의 영창,
168,어둠 주시자의 광소,
169,진홍빛 사신의 피보라,
170,공허 인도자의 자비,
171,폐허를 삼킨 꽃,
172,해일을 즈려밟는 여왕,
173,공허의 물보라,
174,타락한 파괴신의 강림,
